,,,Week 1 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Tyreek Hill,MIA,JAX,MIA,-3.5,49.0,13.28,6.97,96.99,0.56,0.31,2.24,0.00
2,CeeDee Lamb,DAL,CLE,CLE,2,43.0,11.83,6.55,82.88,0.46,0.68,4.22,0.06
3,Ja'Marr Chase,CIN,NE,CIN,-9.0,42.5,11.47,6.48,84.33,0.49,0.19,0.99,0.00
4,A.J. Brown,PHI,GB,PHI,-2.0,48.5,11.39,5.55,83.53,0.50,0.06,0.38,0.00
5,Justin Jefferson,MIN,NYG,-,-,,11.12,6.01,81.69,0.48,0.11,0.69,0.00
6,Amon-Ra St. Brown,DET,LAR,DET,-3.5,51.0,11.11,7.06,81.78,0.45,0.38,2.29,0.00
7,Puka Nacua,LAR,DET,DET,3.5,51.0,10.40,5.66,75.70,0.43,0.49,2.52,0.00
8,Garrett Wilson,NYJ,SF,SF,4,44.0,9.92,5.55,70.45,0.45,0.28,1.74,0.00
9,Nico Collins,HOU,IND,HOU,-2.0,49.0,9.76,4.83,71.21,0.43,0.12,0.62,0.00
10,Deebo Samuel,SF,NYJ,SF,-4.0,44.0,9.73,3.79,53.18,0.35,2.39,14.16,0.15
11,Cooper Kupp,LAR,DET,DET,3.5,51.0,9.31,5.51,65.67,0.43,0.24,1.59,0.00
12,Jaylen Waddle,MIA,JAX,MIA,-3.5,49.0,9.28,5.09,69.41,0.37,0.18,1.17,0.00
13,Drake London,ATL,PIT,ATL,-3.0,41.5,9.26,5.19,67.39,0.41,0.12,0.65,0.00
14,Tee Higgins,CIN,NE,CIN,-9.0,42.5,9.25,4.59,65.18,0.45,0.06,0.32,0.00
15,Mike Evans,TB,WAS,TB,-3.0,42.0,9.23,4.26,64.41,0.46,0.06,0.29,0.00
16,DK Metcalf,SEA,DEN,SEA,-5.0,42.0,9.15,4.38,63.03,0.47,0.06,0.29,0.00
17,Chris Olave,NO,CAR,NO,-4.0,40.0,9.08,5.13,69.55,0.35,0.06,0.29,0.00
18,Marvin Harrison,ARI,BUF,BUF,6,48.0,9.01,4.66,65.66,0.40,0.06,0.40,0.00
19,Stefon Diggs,HOU,IND,HOU,-2.0,49.0,8.96,5.20,62.86,0.44,0.06,0.31,0.00
