,,,Week 16 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Harrison Butker,KC,HOU,-,-,,8.74,1.86,2.11,88.2,3.16,3.28,96.3
2,Brandon Aubrey,DAL,TB,-,-,,8.54,1.85,2.10,88.1,2.96,3.08,96.1
3,Justin Tucker,BAL,PIT,-,-,,8.48,1.87,2.11,88.6,2.90,2.96,98.0
4,Evan McPherson,CIN,CLE,-,-,,8.19,1.76,2.00,88.0,2.91,3.03,96.0
5,Jake Moody,SF,MIA,-,-,,7.89,1.65,1.96,84.2,2.94,3.12,94.2
6,Tyler Bass,BUF,NE,-,-,,7.83,1.69,2.01,84.1,2.76,2.88,95.8
7,Younghoe Koo,ATL,NYG,-,-,,7.82,1.82,2.06,88.3,2.36,2.43,97.1
8,Greg Zuerlein,NYJ,LAR,-,-,,7.80,1.78,2.09,85.2,2.46,2.58,95.3
9,Cameron Dicker,LAC,DEN,-,-,,7.60,1.73,1.97,87.8,2.38,2.50,95.2
10,Jason Sanders,MIA,SF,-,-,,7.45,1.56,1.86,83.9,2.77,2.89,95.8
11,Ka'imi Fairbairn,HOU,KC,-,-,,7.34,1.55,1.83,84.7,2.69,2.81,95.7
12,Jake Elliott,PHI,WAS,-,-,,7.32,1.62,1.86,87.1,2.46,2.59,95.0
13,Jason Myers,SEA,MIN,-,-,,7.31,1.62,1.92,84.4,2.27,2.39,95.0
14,Matt Gay,IND,TEN,-,-,,7.26,1.70,2.01,84.6,2.13,2.25,94.7
15,Daniel Carlson,LV,JAX,-,-,,7.17,1.75,1.98,88.4,2.10,2.16,97.2
16,Dustin Hopkins,CLE,CIN,-,-,,7.14,1.60,1.88,85.1,2.34,2.45,95.5
17,Matt Prater,ARI,CAR,-,-,,7.09,1.66,1.96,84.7,2.08,2.20,94.5
18,Cairo Santos,CHI,DET,-,-,,6.96,1.60,1.83,87.4,2.19,2.30,95.2
19,Anders Carlson,GB,NO,-,-,,6.84,1.46,1.81,80.7,2.46,2.57,95.7
20,Blake Grupe,NO,GB,-,-,,6.81,1.51,1.79,84.4,2.13,2.24,95.1
21,Chase McLaughlin,TB,DAL,-,-,,6.80,1.60,1.88,85.1,2.00,2.11,94.8
22,Joshua Karty,LAR,NYJ,-,-,,6.78,1.45,1.78,81.5,2.40,2.51,95.6
23,Jake Bates,DET,CHI,-,-,,6.69,1.35,1.66,81.3,2.64,2.76,95.7
24,Nick Folk,TEN,IND,-,-,,6.64,1.59,1.87,85.0,1.87,1.99,94.0
25,Graham Gano,NYG,ATL,-,-,,6.53,1.57,1.85,84.9,1.85,1.96,94.4
26,Chris Boswell,PIT,BAL,-,-,,6.46,1.52,1.73,87.9,1.90,2.00,95.0
27,Will Reichard,MIN,SEA,-,-,,6.38,1.38,1.66,83.1,2.21,2.32,95.3
28,Cam Little,JAX,LV,-,-,,6.35,1.36,1.70,80.0,2.27,2.38,95.4
29,Wil Lutz,DEN,LAC,-,-,,6.32,1.44,1.72,83.7,2.00,2.11,94.8
30,Eddy Pineiro,CAR,ARI,-,-,,6.18,1.46,1.69,86.4,1.98,2.10,94.3
31,Joey Slye,NE,BUF,-,-,,1.42,0.37,0.46,80.4,0.46,0.50,92.0
32,Austin Seibert,NYJ,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Chad Ryland,NE,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Brayden Narveson,TEN,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Jude McAtamney,NYG,ATL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Greg Joseph,GB,NO,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
37,Matthew Wright,PIT,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
38,Michael Badgley,DET,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
39,Spencer Shrader,IND,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
40,Charlie Smyth,NO,GB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
41,Alex Hale,GB,NO,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
42,Cade York,WAS,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
43,Lucas Havrisik,CLE,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
