,,,Week 4 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Patrick Mahomes,KC,LAC,-,-,,24.08,24.45,35.40,69.1,273.10,2.05,0.74,4.10,21.89,0.13
2,Jalen Hurts,PHI,TB,-,-,,23.81,19.58,29.00,67.5,219.13,1.39,0.67,8.90,39.43,0.67
3,Josh Allen,BUF,BAL,-,-,,23.52,21.08,32.90,64.1,234.97,1.57,0.82,6.50,31.92,0.52
4,Lamar Jackson,BAL,BUF,-,-,,23.44,18.73,27.30,68.6,215.96,1.54,0.61,8.90,51.68,0.32
5,C.J. Stroud,HOU,JAX,-,-,,22.82,23.09,34.10,67.7,269.63,2.04,0.74,2.70,12.00,0.12
6,Joe Burrow,CIN,CAR,-,-,,22.27,25.20,35.60,70.8,265.58,1.95,0.75,3.20,11.65,0.13
7,Anthony Richardson,IND,PIT,-,-,,21.49,17.27,28.10,61.5,196.01,1.11,0.70,10.00,47.06,0.54
8,Brock Purdy,SF,NE,-,-,,21.36,21.14,28.60,73.9,253.13,1.89,0.69,2.30,10.54,0.13
9,Dak Prescott,DAL,NYG,-,-,,21.23,22.94,33.10,69.3,248.35,1.85,0.68,3.20,13.76,0.12
10,Jared Goff,DET,SEA,-,-,,20.80,23.87,33.60,71.0,267.76,1.85,0.70,1.50,3.56,0.06
11,Jordan Love,GB,MIN,-,-,,20.48,21.44,31.90,67.2,239.83,1.71,0.73,2.60,12.97,0.18
12,Kyler Murray,ARI,WAS,-,-,,20.43,20.30,30.90,65.7,222.33,1.29,0.70,5.50,31.70,0.28
13,Tua Tagovailoa,MIA,TEN,-,-,,20.10,22.09,30.80,71.7,256.07,1.81,0.75,1.90,4.46,0.06
14,Caleb Williams,CHI,LAR,-,-,,19.71,20.98,32.10,65.4,233.47,1.51,0.85,4.00,17.63,0.18
15,Trevor Lawrence,JAX,HOU,-,-,,19.32,21.33,32.90,64.8,226.80,1.45,0.75,4.10,18.53,0.18
16,Justin Herbert,LAC,KC,-,-,,18.95,20.86,32.70,63.8,225.72,1.50,0.63,3.20,12.11,0.18
17,Matthew Stafford,LAR,CHI,-,-,,18.73,21.40,33.10,64.7,240.17,1.70,0.82,0.90,3.83,0.06
18,Aaron Rodgers,NYJ,DEN,-,-,,18.70,21.28,32.10,66.3,235.58,1.63,0.54,1.90,5.85,0.06
19,Jayden Daniels,WAS,ARI,-,-,,18.46,17.26,29.10,59.3,192.88,1.14,0.79,5.80,30.10,0.34
20,Kirk Cousins,ATL,NO,-,-,,18.06,22.08,31.90,69.2,236.23,1.54,0.71,1.70,4.36,0.06
21,Deshaun Watson,CLE,LV,-,-,,18.06,18.14,28.90,62.8,199.68,1.29,0.76,4.50,23.00,0.23
22,Baker Mayfield,TB,PHI,-,-,,17.58,20.16,31.40,64.2,219.07,1.39,0.70,3.20,11.04,0.11
23,Geno Smith,SEA,DET,-,-,,17.33,19.85,31.30,63.4,217.10,1.38,0.63,2.10,8.63,0.12
24,Will Levis,TEN,MIA,-,-,,16.84,18.86,32.40,58.2,213.22,1.34,0.78,2.80,9.34,0.11
25,Russell Wilson,PIT,IND,-,-,,16.04,17.27,27.30,63.3,186.71,1.16,0.64,4.30,19.29,0.13
26,Gardner Minshew,LV,CLE,-,-,,15.53,20.15,32.50,62.0,210.09,1.14,0.76,1.80,6.83,0.09
27,Derek Carr,NO,ATL,-,-,,15.33,19.89,31.20,63.8,205.04,1.24,0.62,1.80,3.77,0.06
28,Bryce Young,CAR,CIN,-,-,,15.22,17.92,30.90,58.0,195.65,1.07,0.79,2.90,12.90,0.11
29,Drake Maye,NE,SF,-,-,,14.92,16.47,29.70,55.5,178.58,1.06,0.69,3.60,14.83,0.16
30,Daniel Jones,NYG,DAL,-,-,,14.64,15.42,24.90,61.9,164.50,0.90,0.51,4.90,23.09,0.17
31,Bo Nix,DEN,NYJ,-,-,,12.73,14.11,23.80,59.3,146.27,0.85,0.56,4.20,17.36,0.14
32,Aidan O'Connell,LV,CLE,-,-,,5.81,8.04,13.40,60.0,85.74,0.47,0.38,0.10,0.20,0.00
33,Jimmy Garoppolo,LAR,CHI,-,-,,1.27,1.35,2.10,64.3,14.70,0.14,0.07,0.20,0.47,0.00
34,Logan Woodside,CIN,CAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
35,Taylor Heinicke,ATL,NO,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
36,PJ Walker,SEA,DET,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
37,Zach Wilson,DEN,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
38,Nate Sudfeld,DET,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
39,Kyle Trask,TB,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
40,Davis Mills,HOU,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
41,Brett Rypien,CHI,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
42,Adrian Martinez,NYJ,DEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
43,Tanner McKee,PHI,TB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
44,Jake Luton,CAR,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
45,Drew Lock,NYG,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
46,Trey Lance,DAL,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
47,Emory Jones,BAL,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
48,Tanner Mordecai,SF,NE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
49,Mason Rudolph,TEN,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
50,Chris Oladokun,KC,LAC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
51,Easton Stick,LAC,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
52,Andrew Peasley,NYJ,DEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
53,Skylar Thompson,MIA,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
