,,,Week 17 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,CeeDee Lamb,DAL,PHI,-,-,,12.17,6.76,85.52,0.47,0.71,4.35,0.06
2,Tyreek Hill,MIA,CLE,-,-,,12.16,6.39,88.95,0.51,0.29,2.06,0.00
3,Ja'Marr Chase,CIN,DEN,-,-,,11.67,6.59,85.74,0.50,0.19,1.00,0.00
4,A.J. Brown,PHI,DAL,-,-,,11.28,5.48,82.47,0.50,0.06,0.37,0.00
5,Puka Nacua,LAR,ARI,-,-,,10.96,5.98,79.95,0.45,0.52,2.66,0.00
6,Justin Jefferson,MIN,GB,-,-,,10.93,6.18,83.94,0.41,0.12,0.71,0.00
7,Deebo Samuel,SF,DET,-,-,,10.38,3.98,55.93,0.37,2.51,14.89,0.18
8,Amon-Ra St. Brown,DET,SF,-,-,,10.22,6.52,75.45,0.41,0.35,2.11,0.00
9,Garrett Wilson,NYJ,BUF,-,-,,10.18,5.71,72.40,0.46,0.29,1.79,0.00
10,Brandon Aiyuk,SF,DET,-,-,,9.72,4.81,70.49,0.44,0.06,0.32,0.00
11,Cooper Kupp,LAR,ARI,-,-,,9.48,5.60,66.76,0.44,0.25,1.62,0.00
12,Mike Evans,TB,CAR,-,-,,9.46,4.37,66.11,0.47,0.06,0.30,0.00
13,Tee Higgins,CIN,DEN,-,-,,9.36,4.66,66.27,0.45,0.06,0.32,0.00
14,Nico Collins,HOU,BAL,-,-,,9.28,4.58,67.63,0.41,0.12,0.59,0.00
15,Drake London,ATL,WAS,-,-,,9.24,5.17,67.12,0.41,0.12,0.65,0.00
16,Chris Olave,NO,LV,-,-,,9.18,5.20,70.48,0.35,0.06,0.30,0.00
17,Amari Cooper,CLE,MIA,-,-,,9.12,4.45,65.68,0.42,0.06,0.30,0.00
18,Marvin Harrison,ARI,LAR,-,-,,9.01,4.66,65.66,0.40,0.06,0.40,0.00
19,DJ Moore,CHI,SEA,-,-,,8.95,4.65,62.91,0.42,0.24,1.43,0.00
20,DK Metcalf,SEA,CHI,-,-,,8.76,4.19,60.29,0.45,0.06,0.28,0.00
21,DeVonta Smith,PHI,DAL,-,-,,8.61,5.19,63.52,0.37,0.06,0.37,0.00
22,Christian Kirk,JAX,TEN,-,-,,8.57,4.93,62.80,0.37,0.12,0.67,0.00
23,Jaylen Waddle,MIA,CLE,-,-,,8.51,4.67,63.66,0.34,0.17,1.07,0.00
24,Davante Adams,LV,NO,-,-,,8.23,5.16,61.64,0.34,0.06,0.28,0.00
25,Jordan Addison,MIN,GB,-,-,,8.21,4.25,58.81,0.37,0.19,1.12,0.00
26,Stefon Diggs,HOU,BAL,-,-,,8.21,4.78,57.80,0.40,0.06,0.28,0.00
27,Rome Odunze,CHI,SEA,-,-,,8.12,4.33,58.57,0.37,0.06,0.43,0.00
28,Tank Dell,HOU,BAL,-,-,,8.12,4.49,57.00,0.34,0.67,3.82,0.00
29,Zay Flowers,BAL,HOU,-,-,,8.05,4.85,55.84,0.36,0.48,3.06,0.00
30,Malik Nabers,NYG,IND,-,-,,8.02,4.34,58.89,0.34,0.11,0.86,0.00
31,Jayden Reed,GB,MIN,-,-,,7.94,4.27,53.24,0.30,0.78,4.57,0.06
32,George Pickens,PIT,KC,-,-,,7.93,3.91,58.97,0.33,0.11,0.55,0.00
33,Keenan Allen,CHI,SEA,-,-,,7.87,5.08,56.43,0.36,0.12,0.67,0.00
