,,,Week 18 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Sam LaPorta,DET,MIN,-,-,,8.61,5.53,57.25,0.48,0.00,0.00,0.00
2,Travis Kelce,KC,DEN,-,-,,8.38,5.28,55.93,0.46,0.07,0.26,0.00
3,Mark Andrews,BAL,CLE,-,-,,7.78,4.12,52.03,0.43,0.00,0.00,0.00
4,George Kittle,SF,ARI,-,-,,7.49,3.88,52.98,0.36,0.06,0.30,0.00
5,Kyle Pitts,ATL,CAR,-,-,,6.91,4.11,51.11,0.30,0.00,0.00,0.00
6,Dalton Kincaid,BUF,NE,-,-,,6.73,4.69,48.68,0.31,0.00,0.00,0.00
7,Trey McBride,ARI,SF,-,-,,6.28,4.49,45.99,0.28,0.00,0.00,0.00
8,Jake Ferguson,DAL,WAS,-,-,,5.92,4.00,41.84,0.29,0.00,0.00,0.00
9,Taysom Hill,NO,TB,-,-,,5.86,1.34,13.75,0.12,4.87,20.93,0.24
10,Dalton Schultz,HOU,TEN,-,-,,5.50,3.52,36.96,0.30,0.00,0.00,0.00
11,David Njoku,CLE,BAL,-,-,,5.43,3.53,38.06,0.27,0.00,0.00,0.00
12,Dallas Goedert,PHI,NYG,-,-,,5.34,3.73,40.16,0.22,0.00,0.00,0.00
13,Evan Engram,JAX,IND,-,-,,5.27,4.09,39.53,0.22,0.00,0.00,0.00
14,Brock Bowers,LV,LAC,-,-,,5.05,3.18,35.48,0.25,0.00,0.00,0.00
15,T.J. Hockenson,MIN,DET,-,-,,4.92,3.46,35.44,0.23,0.00,0.00,0.00
16,Pat Freiermuth,PIT,CIN,-,-,,4.78,3.25,34.02,0.23,0.00,0.00,0.00
17,Cole Kmet,CHI,GB,-,-,,4.70,3.18,32.57,0.24,0.00,0.00,0.00
18,Luke Musgrave,GB,CHI,-,-,,3.99,2.42,27.92,0.20,0.00,0.00,0.00
19,Cade Otton,TB,NO,-,-,,3.95,2.68,26.92,0.21,0.00,0.00,0.00
20,Chigoziem Okonkwo,TEN,HOU,-,-,,3.61,2.47,25.09,0.18,0.06,0.24,0.00
21,Ben Sinnott,WAS,DAL,-,-,,3.60,2.35,24.61,0.19,0.00,0.00,0.00
22,Tucker Kraft,GB,CHI,-,-,,3.35,2.12,22.11,0.19,0.00,0.00,0.00
23,Isaiah Likely,BAL,CLE,-,-,,3.17,1.94,21.48,0.17,0.00,0.00,0.00
24,Juwan Johnson,NO,TB,-,-,,3.07,1.82,20.45,0.17,0.00,0.00,0.00
25,Tyler Conklin,NYJ,MIA,-,-,,3.05,2.22,22.13,0.14,0.00,0.00,0.00
26,Colby Parkinson,LAR,SEA,-,-,,3.04,1.88,20.20,0.17,0.00,0.00,0.00
27,Ja'Tavion Sanders,CAR,ATL,-,-,,3.00,1.79,19.81,0.17,0.00,0.00,0.00
28,Dawson Knox,BUF,NE,-,-,,2.99,1.75,19.14,0.18,0.00,0.00,0.00
29,Hunter Henry,NE,BUF,-,-,,2.88,2.03,20.44,0.14,0.00,0.00,0.00
30,Noah Fant,SEA,LAR,-,-,,2.76,2.02,20.40,0.12,0.00,0.00,0.00
31,Michael Mayer,LV,LAC,-,-,,2.67,1.77,18.86,0.13,0.00,0.00,0.00
32,Gerald Everett,CHI,GB,-,-,,2.57,1.70,17.25,0.14,0.00,0.00,0.00
33,Theo Johnson,NYG,PHI,-,-,,2.48,1.62,17.04,0.13,0.00,0.00,0.00
34,Will Mallory,IND,JAX,-,-,,2.34,1.64,17.35,0.10,0.00,0.00,0.00
35,Jelani Woods,IND,JAX,-,-,,2.27,1.44,16.14,0.11,0.00,0.00,0.00
36,Noah Gray,KC,DEN,-,-,,2.27,1.45,15.50,0.12,0.00,0.00,0.00
37,Tanner Hudson,CIN,PIT,-,-,,2.19,1.41,14.13,0.13,0.00,0.00,0.00
38,Tyler Higbee,LAR,SEA,-,-,,2.19,1.41,14.73,0.12,0.00,0.00,0.00
39,Josh Whyle,TEN,HOU,-,-,,2.08,1.32,13.58,0.12,0.00,0.00,0.00
40,Jaheim Bell,NE,BUF,-,-,,2.08,1.29,14.17,0.11,0.00,0.00,0.00
41,Mike Gesicki,CIN,PIT,-,-,,2.08,1.35,14.83,0.10,0.00,0.00,0.00
