,,,Week 14 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Patrick Mahomes,KC,LAC,-,-,,24.67,25.08,35.40,70.8,280.15,2.10,0.76,4.10,22.45,0.13
2,Jalen Hurts,PHI,CAR,-,-,,24.55,20.17,29.00,69.6,225.67,1.44,0.69,8.90,40.61,0.69
3,Josh Allen,BUF,LAR,-,-,,24.49,21.92,32.90,66.6,244.35,1.64,0.85,6.50,33.20,0.54
4,Joe Burrow,CIN,DAL,-,-,,21.57,24.46,35.60,68.7,257.79,1.89,0.73,3.20,11.30,0.12
5,Dak Prescott,DAL,CIN,-,-,,21.49,23.13,33.10,69.9,250.48,1.87,0.68,3.20,13.88,0.13
6,Brock Purdy,SF,CHI,-,-,,20.80,20.55,28.60,71.9,246.03,1.84,0.67,2.30,10.25,0.13
7,Kyler Murray,ARI,SEA,-,-,,20.36,20.21,30.90,65.4,221.37,1.29,0.70,5.50,31.56,0.28
8,Jared Goff,DET,GB,-,-,,20.05,23.00,33.60,68.5,257.99,1.78,0.67,1.50,3.43,0.06
9,Trevor Lawrence,JAX,TEN,-,-,,19.72,21.81,32.90,66.3,231.85,1.48,0.77,4.10,18.94,0.18
10,Jordan Love,GB,DET,-,-,,19.66,20.62,31.90,64.6,230.70,1.64,0.70,2.60,12.48,0.17
11,Tua Tagovailoa,MIA,NYJ,-,-,,19.59,21.54,30.80,69.9,249.71,1.76,0.73,1.90,4.35,0.06
12,Matthew Stafford,LAR,BUF,-,-,,19.00,21.68,33.10,65.5,243.33,1.73,0.83,0.90,3.88,0.06
13,Caleb Williams,CHI,SF,-,-,,18.63,19.81,32.10,61.7,220.47,1.43,0.80,4.00,16.65,0.17
14,Aaron Rodgers,NYJ,MIA,-,-,,18.24,20.73,32.10,64.6,229.53,1.59,0.53,1.90,5.70,0.06
15,Justin Herbert,LAC,KC,-,-,,18.21,20.10,32.70,61.5,217.53,1.44,0.61,3.20,11.67,0.17
16,Kirk Cousins,ATL,MIN,-,-,,17.69,21.61,31.90,67.7,231.18,1.51,0.70,1.70,4.27,0.06
17,Baker Mayfield,TB,LV,-,-,,17.67,20.25,31.40,64.5,220.03,1.40,0.70,3.20,11.09,0.11
18,Geno Smith,SEA,ARI,-,-,,17.65,20.21,31.30,64.6,221.01,1.41,0.64,2.10,8.78,0.12
19,Deshaun Watson,CLE,PIT,-,-,,17.49,17.59,28.90,60.9,193.56,1.25,0.74,4.50,22.30,0.22
20,Will Levis,TEN,JAX,-,-,,17.44,19.56,32.40,60.4,221.13,1.39,0.81,2.80,9.69,0.11
21,Russell Wilson,PIT,CLE,-,-,,16.12,17.35,27.30,63.6,187.54,1.17,0.65,4.30,19.37,0.13
22,Gardner Minshew,LV,TB,-,-,,15.71,20.43,32.50,62.9,212.97,1.15,0.77,1.80,6.92,0.09
23,Derek Carr,NO,NYG,-,-,,15.51,20.16,31.20,64.6,207.86,1.25,0.63,1.80,3.83,0.06
24,Bryce Young,CAR,PHI,-,-,,14.77,17.35,30.90,56.1,189.38,1.04,0.77,2.90,12.49,0.11
25,Daniel Jones,NYG,NO,-,-,,14.61,15.35,24.90,61.6,163.74,0.90,0.50,4.90,22.98,0.17
26,Aidan O'Connell,LV,TB,-,-,,5.91,8.15,13.40,60.8,86.91,0.48,0.38,0.10,0.21,0.00
27,Jimmy Garoppolo,LAR,BUF,-,-,,1.28,1.37,2.10,65.2,14.89,0.14,0.07,0.20,0.47,0.00
28,Kyle Trask,TB,LV,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
29,Jake Luton,CAR,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
30,Skylar Thompson,MIA,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
31,Taylor Heinicke,ATL,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
32,Sam Howell,SEA,ARI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
33,Mike White,MIA,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
34,John Wolford,TB,LV,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
35,Nathan Peterman,LV,TB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
36,John Rhys Plumlee,PIT,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
37,Andrew Peasley,NYJ,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
38,Luis Perez,LAC,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
39,Chris Oladokun,KC,LAC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
40,Tanner Mordecai,SF,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
41,J.J. McCarthy,MIN,ATL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
42,Mitch Trubisky,BUF,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
