,,,Week 8 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,DAL,-,-,,16.73,15.10,77.27,0.69,4.26,33.67,0.25
2,Breece Hall,NYJ,NE,-,-,,13.51,15.70,71.49,0.53,3.31,24.59,0.12
3,Jonathan Taylor,IND,HOU,-,-,,12.33,15.60,70.84,0.58,1.85,14.09,0.06
4,Bijan Robinson,ATL,TB,-,-,,12.05,14.90,65.72,0.47,2.75,20.53,0.10
5,Jahmyr Gibbs,DET,TEN,-,-,,11.97,11.70,59.34,0.46,3.36,24.97,0.13
6,Saquon Barkley,PHI,CIN,-,-,,11.83,15.40,67.67,0.41,2.54,18.84,0.12
7,Derrick Henry,BAL,CLE,-,-,,11.83,14.40,67.83,0.64,1.16,8.44,0.06
8,Kyren Williams,LAR,MIN,-,-,,11.60,13.70,62.73,0.53,2.32,17.27,0.07
9,Isiah Pacheco,KC,LV,-,-,,11.57,12.90,61.72,0.47,2.52,18.61,0.12
10,Josh Jacobs,GB,JAX,-,-,,11.24,14.10,63.70,0.49,2.16,15.73,0.06
11,Travis Etienne,JAX,GB,-,-,,10.53,14.20,58.59,0.40,2.55,19.15,0.06
12,Rachaad White,TB,ATL,-,-,,10.51,13.20,54.21,0.37,2.90,21.48,0.12
13,De'Von Achane,MIA,ARI,-,-,,10.42,9.90,54.52,0.41,2.46,19.07,0.10
14,David Montgomery,DET,TEN,-,-,,10.28,11.90,56.45,0.56,1.26,9.17,0.06
15,James Cook,BUF,SEA,-,-,,9.94,11.90,55.10,0.30,2.47,19.07,0.12
16,Joe Mixon,HOU,IND,-,-,,9.67,12.70,55.65,0.35,2.26,16.47,0.06
17,Najee Harris,PIT,NYG,-,-,,9.54,13.30,55.62,0.40,1.59,11.59,0.07
18,Kenneth Walker,SEA,BUF,-,-,,9.53,13.60,56.10,0.40,1.68,12.21,0.05
19,Aaron Jones,MIN,LAR,-,-,,9.33,11.90,50.28,0.34,2.08,15.42,0.12
20,James Conner,ARI,MIA,-,-,,9.13,12.00,49.83,0.40,1.86,13.83,0.06
21,Nick Chubb,CLE,BAL,-,-,,9.02,11.80,52.76,0.45,0.88,6.82,0.06
22,Zamir White,LV,KC,-,-,,8.84,12.80,51.53,0.36,1.61,11.70,0.06
23,D'Andre Swift,CHI,WAS,-,-,,8.81,11.20,47.56,0.35,2.18,15.95,0.06
24,Devin Singletary,NYG,PIT,-,-,,8.77,13.50,52.48,0.29,2.00,14.22,0.06
25,Gus Edwards,LAC,NO,-,-,,8.66,11.60,50.35,0.42,1.02,7.48,0.06
26,Javonte Williams,DEN,CAR,-,-,,8.64,12.30,51.89,0.29,1.87,13.48,0.06
27,Raheem Mostert,MIA,ARI,-,-,,8.60,9.80,47.18,0.40,1.57,11.22,0.06
28,Rhamondre Stevenson,NE,NYJ,-,-,,8.56,12.60,49.18,0.33,1.76,13.00,0.06
29,Alvin Kamara,NO,LAC,-,-,,8.27,10.10,39.90,0.22,3.12,23.03,0.11
30,Zack Moss,CIN,PHI,-,-,,8.22,10.20,44.05,0.35,1.87,13.59,0.06
31,Tony Pollard,TEN,DET,-,-,,8.01,11.80,48.20,0.27,1.74,12.74,0.05
32,Jonathon Brooks,CAR,DEN,-,-,,7.96,10.60,43.47,0.30,1.94,14.48,0.06
33,Ezekiel Elliott,DAL,SF,-,-,,7.90,10.60,41.82,0.36,1.64,11.94,0.06
34,Jaylen Warren,PIT,NYG,-,-,,7.87,9.10,40.29,0.23,2.44,18.02,0.11
35,Chase Brown,CIN,PHI,-,-,,7.36,8.90,38.73,0.24,2.22,16.91,0.06
36,Tyjae Spears,TEN,DET,-,-,,7.18,8.30,33.90,0.20,2.55,18.72,0.12
37,Austin Ekeler,WAS,CHI,-,-,,7.13,7.70,31.63,0.23,2.45,18.64,0.12
38,Brian Robinson,WAS,CHI,-,-,,7.09,10.40,40.65,0.30,1.25,9.23,0.05
39,Zach Charbonnet,SEA,BUF,-,-,,6.51,8.10,33.42,0.24,1.86,13.72,0.06
40,Jerome Ford,CLE,BAL,-,-,,6.03,6.80,28.36,0.23,2.00,14.49,0.06
41,Chuba Hubbard,CAR,DEN,-,-,,5.88,8.50,33.04,0.22,1.25,8.92,0.06
42,Blake Corum,LAR,MIN,-,-,,5.64,6.50,29.61,0.24,1.19,8.80,0.06
43,Trey Benson,ARI,MIA,-,-,,5.58,7.60,30.60,0.22,1.16,8.42,0.06
44,Jaleel McLaughlin,DEN,CAR,-,-,,5.20,6.50,28.35,0.18,1.28,9.24,0.06
45,Tyler Allgeier,ATL,TB,-,-,,5.01,7.30,30.32,0.16,1.01,7.13,0.05
46,Ty Chandler,MIN,LAR,-,-,,4.88,6.70,26.62,0.16,1.26,9.56,0.05
47,Khalil Herbert,CHI,WAS,-,-,,4.69,6.30,27.14,0.19,0.62,4.72,0.06
48,Kendre Miller,NO,LAC,-,-,,4.65,6.00,23.99,0.19,1.04,7.52,0.06
49,Rico Dowdle,DAL,SF,-,-,,4.35,5.90,23.47,0.15,1.10,8.02,0.05
50,Kimani Vidal,LAC,NO,-,-,,4.31,5.50,23.45,0.20,1.04,7.69,0.00
51,Dameon Pierce,HOU,IND,-,-,,4.27,6.20,26.96,0.19,0.59,4.36,0.00
52,Antonio Gibson,NE,NYJ,-,-,,4.21,4.90,18.41,0.11,1.90,14.12,0.05
53,Elijah Mitchell,SF,DAL,-,-,,4.17,5.20,25.26,0.19,0.66,4.99,0.00
54,Ray Davis,BUF,SEA,-,-,,4.16,5.00,22.38,0.15,0.85,6.66,0.06
55,MarShawn Lloyd,GB,JAX,-,-,,4.00,4.80,20.88,0.13,0.93,7.08,0.07
56,Alexander Mattison,LV,KC,-,-,,3.77,5.20,20.35,0.13,0.88,5.96,0.06
57,Clyde Edwards-Helaire,KC,LV,-,-,,3.76,3.90,17.28,0.13,1.21,8.88,0.06
58,Roschon Johnson,CHI,WAS,-,-,,3.70,3.60,15.04,0.15,1.15,8.72,0.07
59,AJ Dillon,GB,JAX,-,-,,3.45,4.60,19.18,0.18,0.62,4.53,0.00
60,Bucky Irving,TB,ATL,-,-,,3.39,4.20,17.18,0.11,0.98,7.15,0.05
61,Will Shipley,PHI,CIN,-,-,,3.35,4.10,17.48,0.12,0.71,5.23,0.06
62,Jaylen Wright,MIA,ARI,-,-,,3.21,3.50,16.58,0.12,0.68,4.72,0.06
63,Braelon Allen,NYJ,NE,-,-,,3.21,4.10,17.33,0.15,0.45,3.39,0.04
64,Jamaal Williams,NO,LAC,-,-,,2.97,4.70,18.32,0.13,0.50,3.53,0.00
65,Deuce Vaughn,DAL,SF,-,-,,2.95,3.20,13.08,0.08,0.91,6.81,0.08
66,J.K. Dobbins,LAC,NO,-,-,,2.92,3.40,14.27,0.12,0.70,5.31,0.04
67,Chris Rodriguez,WAS,CHI,-,-,,2.86,4.20,16.86,0.14,0.45,3.31,0.00
68,Isaac Guerendo,SF,DAL,-,-,,2.77,3.40,15.56,0.12,0.66,4.92,0.00
69,Tyrone Tracy,NYG,PIT,-,-,,2.71,3.10,12.08,0.08,0.89,6.64,0.06
70,Ty Johnson,BUF,SEA,-,-,,2.71,2.60,11.33,0.07,1.02,7.38,0.07
71,Tank Bigsby,JAX,GB,-,-,,2.55,3.60,15.07,0.11,0.54,3.86,0.00
72,D'Onta Foreman,CLE,BAL,-,-,,2.51,3.70,15.38,0.10,0.50,3.67,0.00
73,Emari Demercado,ARI,MIA,-,-,,2.45,2.40,9.73,0.06,1.04,7.58,0.06
74,Kenneth Gainwell,PHI,CIN,-,-,,2.39,2.60,10.77,0.06,0.80,5.97,0.06
75,Justice Hill,BAL,CLE,-,-,,2.34,1.80,7.79,0.06,1.15,8.41,0.06
76,Kevin Harris,NE,NYJ,-,-,,2.33,3.50,13.49,0.11,0.44,3.22,0.00
77,Evan Hull,IND,HOU,-,-,,2.32,2.50,10.46,0.06,0.75,5.57,0.06
78,Eric Gray,NYG,PIT,-,-,,2.30,3.30,12.87,0.09,0.65,4.72,0.00
79,Audric Estime,DEN,CAR,-,-,,2.29,3.10,13.06,0.11,0.50,3.27,0.00
80,Rasheen Ali,BAL,CLE,-,-,,2.24,3.00,13.18,0.07,0.68,4.99,0.00
81,Keaton Mitchell,BAL,CLE,-,-,,2.07,2.70,12.41,0.06,0.62,4.66,0.00
82,Dylan Laube,LV,KC,-,-,,1.99,2.50,10.00,0.08,0.69,5.05,0.00
83,Jase McClellan,ATL,TB,-,-,,1.85,1.70,6.80,0.06,0.60,4.53,0.06
84,Samaje Perine,DEN,CAR,-,-,,1.81,1.50,6.10,0.04,1.02,7.22,0.04
85,Chase Edmonds,TB,ATL,-,-,,1.80,1.80,7.26,0.06,0.96,7.14,0.00
86,Trey Sermon,IND,HOU,-,-,,1.77,2.60,10.88,0.07,0.35,2.64,0.00
87,Frank Gore,BUF,SEA,-,-,,1.76,2.40,10.60,0.07,0.39,2.78,0.00
88,Miles Sanders,CAR,DEN,-,-,,1.72,2.80,10.95,0.06,0.36,2.60,0.00
89,Cam Akers,HOU,IND,-,-,,1.65,2.60,10.85,0.07,0.21,1.41,0.00
90,Cordarrelle Patterson,PIT,NYG,-,-,,1.57,1.90,8.07,0.06,0.53,4.00,0.00
91,Craig Reynolds,DET,TEN,-,-,,1.51,1.90,8.50,0.06,0.40,3.01,0.00
92,DeWayne McBride,MIN,LAR,-,-,,1.50,2.10,8.48,0.07,0.31,2.33,0.00
93,Michael Carter,ARI,MIA,-,-,,1.40,1.60,6.32,0.06,0.59,4.08,0.00
94,Emani Bailey,KC,LV,-,-,,1.38,2.20,9.94,0.00,0.42,3.81,0.00
95,Jawhar Jordan,HOU,IND,-,-,,1.37,1.90,8.16,0.06,0.25,1.90,0.00
96,Kyle Juszczyk,SF,DAL,-,-,,1.31,0.30,1.02,0.00,0.85,7.88,0.07
97,Ronnie Rivers,LAR,MIN,-,-,,1.27,1.60,6.93,0.07,0.25,1.61,0.00
98,Jeff Wilson,MIA,ARI,-,-,,1.22,1.50,6.78,0.06,0.26,1.85,0.00
99,Pierre Strong,CLE,BAL,-,-,,1.21,1.50,6.35,0.06,0.28,2.15,0.00
100,Isaiah Spiller,LAC,NO,-,-,,1.21,1.60,6.87,0.06,0.24,1.64,0.00
101,Blake Watson,DEN,CAR,-,-,,1.15,1.50,6.18,0.06,0.24,1.72,0.00
102,Isaiah Davis,NYJ,NE,-,-,,1.13,1.50,6.43,0.06,0.16,1.25,0.00
103,Boston Scott,LAR,MIN,-,-,,1.09,1.40,6.21,0.06,0.15,1.13,0.00
104,Israel Abanikanda,NYJ,NE,-,-,,1.07,2.10,8.82,0.00,0.27,1.87,0.00
105,Matt Breida,SF,DAL,-,-,,0.98,1.10,4.94,0.06,0.16,1.23,0.00
106,Dare Ogunbowale,HOU,IND,-,-,,0.82,0.60,2.65,0.00,0.76,5.58,0.00
107,Zach Evans,LAR,MIN,-,-,,0.76,1.50,6.18,0.00,0.15,1.39,0.00
108,Raheem Blackshear,CAR,DEN,-,-,,0.70,0.80,3.21,0.00,0.50,3.76,0.00
109,Ameer Abdullah,LV,KC,-,-,,0.63,0.60,2.43,0.00,0.51,3.84,0.00
110,Elijah Dotson,LAC,NO,-,-,,0.60,1.10,4.46,0.00,0.20,1.52,0.00
111,Travis Homer,CHI,WAS,-,-,,0.51,0.80,3.41,0.00,0.24,1.69,0.00
112,Nyheim Hines,CLE,BAL,-,-,,0.50,0.40,1.64,0.00,0.48,3.39,0.00
113,D'Ernest Johnson,JAX,GB,-,-,,0.49,0.90,3.76,0.00,0.15,1.14,0.00
114,Emanuel Wilson,GB,JAX,-,-,,0.48,0.60,2.51,0.02,0.15,1.11,0.00
115,Cody Schrader,SF,DAL,-,-,,0.48,0.90,4.41,0.00,0.21,0.43,0.00
116,Jordan Mason,SF,DAL,-,-,,0.47,0.50,2.27,0.02,0.18,1.26,0.00
117,Malik Davis,DAL,SF,-,-,,0.44,0.80,3.28,0.00,0.15,1.11,0.00
118,DeeJay Dallas,ARI,MIA,-,-,,0.44,0.60,2.41,0.00,0.27,1.98,0.00
119,Kenny McIntosh,SEA,BUF,-,-,,0.39,0.70,2.87,0.00,0.13,0.98,0.00
120,Kene Nwangwu,MIN,LAR,-,-,,0.35,0.70,2.77,0.00,0.13,0.71,0.00
121,Sean Tucker,TB,ATL,-,-,,0.33,0.50,2.06,0.00,0.13,1.20,0.00
122,Keilan Robinson,JAX,GB,-,-,,0.31,0.50,2.05,0.00,0.13,1.00,0.00
123,Hassan Haskins,TEN,DET,-,-,,0.31,0.60,2.38,0.00,0.13,0.69,0.00
124,JaMycal Hasty,NE,NYJ,-,-,,0.25,0.40,1.54,0.00,0.12,0.93,0.00
125,Keaontay Ingram,KC,LV,-,-,,0.23,0.40,1.81,0.00,0.11,0.53,0.00
126,Patrick Taylor,SF,DAL,-,-,,0.20,0.20,0.91,0.00,0.14,1.07,0.00
127,Tyrion Davis-Price,PHI,CIN,-,-,,0.11,0.20,0.84,0.00,0.10,0.30,0.00
128,Austin Jones,WAS,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,John Kelly,BAL,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130,Jermar Jefferson,DET,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,Jakob Johnson,NYG,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,DJ Williams,TB,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
133,Zonovan Knight,DET,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134,SaRodorick Thompson,LAR,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,Jonathan Ward,PIT,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Kairee Robinson,SEA,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,Jaden Shirden,CAR,DEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,Deneric Prince,KC,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,Henry Pearson,GB,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,Jordan Mims,NO,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141,Jeremy McNichols,WAS,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,Tyreik McAllister,LV,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,Lorenzo Lingard,NYG,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,Tyler Badie,DEN,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145,Nate McCrary,GB,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,Nick Bawden,HOU,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147,Dante Miller,NYG,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
148,Andrew Beck,HOU,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149,Lew Nichols,PHI,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150,Khari Blasingame,CHI,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
151,La'Mical Perine,PIT,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
152,Mike Boone,CAR,DEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153,Patrick Ricard,BAL,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154,Gary Brightwell,JAX,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
155,Jacob Saylors,CLE,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
156,Chris Brooks,MIA,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,Carson Steele,KC,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
158,British Brooks,HOU,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,Xazavian Valladay,NYJ,NE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,Brittain Brown,LV,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
161,Ian Wheeler,CHI,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
162,Spencer Brown,ATL,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163,Avery Williams,ATL,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
164,Robert Burns,ATL,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165,Ramon Jefferson,TB,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
166,Michael Burton,DEN,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167,Terrell Jennings,NE,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,Noah Cain,CIN,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
169,Tony Jones,ARI,MIA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
170,Julius Chestnut,TEN,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
171,Joshua Kelley,NYG,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,Jack Colletto,PIT,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
173,Jacob Kibodi,NO,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174,Chris Collier,BAL,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
175,Kobe Lewis,SEA,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,Elijah Collins,CIN,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
177,Hunter Luepke,DAL,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178,Snoop Conner,DAL,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179,Sincere McCormick,LV,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
180,Daijun Edwards,PIT,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181,Anthony McFarland,MIA,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182,Chris Evans,CIN,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
183,Ellis Merriweather,GB,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
184,Darrynton Evans,BUF,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
185,Kendall Milton,PHI,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
186,Demetric Felton,IND,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
187,Chris Myarick,JAX,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,Deshaun Fenwick,NE,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
189,Jaret Patterson,LAC,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190,Royce Freeman,DAL,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
191,Nathaniel Peat,DAL,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
192,Jake Funk,DET,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
193,Adam Prentice,NO,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
194,Myles Gaskin,MIN,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
195,Louis Rees-Zammit,KC,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
196,Reggie Gilliam,BUF,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
197,Aidan Robbins,CLE,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
198,Tyler Goodson,IND,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
199,James Robinson,NO,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
200,Troy Hairston,HOU,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
201,Aaron Shampklin,PIT,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
202,Hassan Hall,ARI,MIA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
203,Jabari Small,TEN,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
204,C.J. Ham,MIN,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
205,J.J. Taylor,HOU,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
206,George Holani,SEA,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
207,Sione Vaki,DET,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
208,Zander Horvath,MIA,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
209,Ke'Shawn Vaughn,SF,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
210,Jarveon Howard,GB,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
211,Carlos Washington,ATL,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212,Mohamed Ibrahim,MIN,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
213,Michael Wiley,WAS,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
214,Alec Ingold,MIA,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
215,Trayveon Williams,CIN,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
216,Deon Jackson,NYJ,NE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217,Owen Wright,BAL,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
218,Jalen Jackson,JAX,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
