,,,Week 18 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Brandon Aubrey,DAL,WAS,-,-,,8.59,1.87,2.11,88.6,2.98,3.11,95.8
2,Justin Tucker,BAL,CLE,-,-,,8.58,1.88,2.12,88.7,2.91,2.97,98.0
3,Harrison Butker,KC,DEN,-,-,,8.37,1.78,2.02,88.1,3.03,3.15,96.2
4,Younghoe Koo,ATL,CAR,-,-,,8.04,1.87,2.11,88.6,2.43,2.49,97.6
5,Evan McPherson,CIN,PIT,-,-,,7.87,1.69,1.92,88.0,2.80,2.92,95.9
6,Jake Moody,SF,ARI,-,-,,7.72,1.61,1.91,84.3,2.86,3.04,94.1
7,Ka'imi Fairbairn,HOU,TEN,-,-,,7.69,1.62,1.92,84.4,2.83,2.95,95.9
8,Greg Zuerlein,NYJ,MIA,-,-,,7.62,1.74,2.04,85.3,2.40,2.52,95.2
9,Tyler Bass,BUF,NE,-,-,,7.51,1.62,1.92,84.4,2.65,2.77,95.7
10,Cameron Dicker,LAC,LV,-,-,,7.40,1.69,1.92,88.0,2.33,2.45,95.1
11,Jake Elliott,PHI,NYG,-,-,,7.32,1.62,1.86,87.1,2.46,2.59,95.0
12,Joshua Karty,LAR,SEA,-,-,,7.25,1.55,1.91,81.2,2.57,2.69,95.5
13,Matt Gay,IND,JAX,-,-,,7.15,1.69,1.99,84.9,2.11,2.23,94.6
14,Jason Sanders,MIA,NYJ,-,-,,7.09,1.48,1.77,83.6,2.62,2.74,95.6
15,Daniel Carlson,LV,LAC,-,-,,7.07,1.72,1.95,88.2,2.06,2.12,97.2
16,Chase McLaughlin,TB,NO,-,-,,6.98,1.65,1.94,85.1,2.06,2.18,94.5
17,Dustin Hopkins,CLE,BAL,-,-,,6.98,1.57,1.85,84.9,2.30,2.41,95.4
18,Jake Bates,DET,MIN,-,-,,6.97,1.40,1.72,81.4,2.74,2.87,95.5
19,Jason Myers,SEA,LAR,-,-,,6.93,1.53,1.82,84.1,2.16,2.27,95.2
20,Blake Grupe,NO,TB,-,-,,6.85,1.52,1.80,84.4,2.14,2.25,95.1
21,Chris Boswell,PIT,CIN,-,-,,6.83,1.60,1.83,87.4,2.00,2.12,94.3
22,Anders Carlson,GB,CHI,-,-,,6.82,1.45,1.80,80.6,2.44,2.55,95.7
23,Cairo Santos,CHI,GB,-,-,,6.78,1.55,1.78,87.1,2.13,2.24,95.1
24,Nick Folk,TEN,HOU,-,-,,6.68,1.60,1.88,85.1,1.88,2.00,94.0
25,Matt Prater,ARI,SF,-,-,,6.62,1.55,1.83,84.7,1.94,2.05,94.6
26,Graham Gano,NYG,PHI,-,-,,6.37,1.54,1.81,85.1,1.81,1.92,94.3
27,Wil Lutz,DEN,KC,-,-,,6.31,1.44,1.71,84.2,1.99,2.10,94.8
28,Will Reichard,MIN,DET,-,-,,6.25,1.36,1.63,83.4,2.17,2.28,95.2
29,Cam Little,JAX,IND,-,-,,6.22,1.34,1.67,80.2,2.23,2.34,95.3
30,Eddy Pineiro,CAR,ATL,-,-,,5.85,1.39,1.61,86.3,1.89,2.00,94.5
31,Joey Slye,NE,BUF,-,-,,1.53,0.38,0.48,79.2,0.48,0.53,90.6
32,Charlie Smyth,NO,TB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Austin Seibert,NYJ,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Spencer Shrader,IND,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Brayden Narveson,TEN,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Chad Ryland,NE,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
37,Jude McAtamney,NYG,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
38,Greg Joseph,GB,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
39,Lucas Havrisik,CLE,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
40,Alex Hale,GB,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
41,Matthew Wright,PIT,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
42,Cade York,WAS,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
43,Michael Badgley,DET,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
