,,,Week 8 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Tyreek Hill,MIA,ARI,-,-,,13.32,7.00,97.39,0.56,0.31,2.25,0.00
2,CeeDee Lamb,DAL,SF,-,-,,11.87,6.58,83.25,0.46,0.69,4.23,0.06
3,Ja'Marr Chase,CIN,PHI,-,-,,11.40,6.42,83.63,0.49,0.18,0.98,0.00
4,Amon-Ra St. Brown,DET,TEN,-,-,,10.98,7.01,81.11,0.44,0.38,2.27,0.00
5,A.J. Brown,PHI,CIN,-,-,,10.85,5.27,79.31,0.48,0.06,0.36,0.00
6,Justin Jefferson,MIN,LAR,-,-,,10.81,6.09,82.81,0.41,0.12,0.70,0.00
7,Puka Nacua,LAR,MIN,-,-,,10.56,5.73,76.68,0.44,0.50,2.55,0.00
8,Garrett Wilson,NYJ,NE,-,-,,10.44,5.86,74.35,0.47,0.30,1.84,0.00
9,Deebo Samuel,SF,DAL,-,-,,10.26,3.95,55.47,0.36,2.49,14.76,0.18
10,Nico Collins,HOU,IND,-,-,,9.88,4.87,71.81,0.44,0.12,0.62,0.00
11,Brandon Aiyuk,SF,DAL,-,-,,9.66,4.77,69.91,0.44,0.06,0.31,0.00
12,Jaylen Waddle,MIA,ARI,-,-,,9.31,5.11,69.70,0.37,0.18,1.17,0.00
13,Mike Evans,TB,ATL,-,-,,9.26,4.28,64.69,0.46,0.06,0.29,0.00
14,Tee Higgins,CIN,PHI,-,-,,9.14,4.55,64.64,0.44,0.06,0.32,0.00
15,Cooper Kupp,LAR,MIN,-,-,,9.08,5.37,64.03,0.42,0.24,1.55,0.00
16,Marvin Harrison,ARI,MIA,-,-,,8.95,4.62,65.07,0.40,0.06,0.40,0.00
17,Amari Cooper,CLE,BAL,-,-,,8.94,4.38,64.54,0.41,0.06,0.30,0.00
18,Drake London,ATL,TB,-,-,,8.92,4.97,64.53,0.40,0.11,0.62,0.00
19,Chris Olave,NO,LAC,-,-,,8.84,5.00,67.69,0.34,0.06,0.28,0.00
20,DK Metcalf,SEA,BUF,-,-,,8.84,4.24,61.11,0.45,0.06,0.28,0.00
21,DJ Moore,CHI,WAS,-,-,,8.76,4.55,61.57,0.41,0.23,1.40,0.00
22,Stefon Diggs,HOU,IND,-,-,,8.69,5.07,61.37,0.42,0.06,0.30,0.00
23,Tank Dell,HOU,IND,-,-,,8.62,4.77,60.53,0.36,0.72,4.06,0.00
24,George Pickens,PIT,NYG,-,-,,8.50,4.20,63.39,0.35,0.12,0.59,0.00
25,Davante Adams,LV,KC,-,-,,8.32,5.23,62.49,0.34,0.06,0.29,0.00
26,DeVonta Smith,PHI,CIN,-,-,,8.24,4.99,61.09,0.35,0.06,0.35,0.00
27,Christian Kirk,JAX,GB,-,-,,8.18,4.72,60.14,0.35,0.12,0.64,0.00
28,Jordan Addison,MIN,LAR,-,-,,8.13,4.19,58.02,0.37,0.18,1.11,0.00
29,Rome Odunze,CHI,WAS,-,-,,7.93,4.24,57.32,0.36,0.06,0.42,0.00
30,Jayden Reed,GB,JAX,-,-,,7.92,4.25,53.01,0.30,0.78,4.55,0.06
31,Zay Flowers,BAL,CLE,-,-,,7.91,4.79,55.11,0.35,0.47,3.02,0.00
32,Malik Nabers,NYG,PIT,-,-,,7.79,4.22,57.28,0.33,0.11,0.83,0.00
33,Keenan Allen,CHI,WAS,-,-,,7.75,4.97,55.23,0.36,0.12,0.65,0.00
34,Michael Pittman,IND,HOU,-,-,,7.74,5.28,59.07,0.30,0.06,0.30,0.00
35,Chris Godwin,TB,ATL,-,-,,7.67,5.13,57.74,0.29,0.24,1.53,0.00
36,Terry McLaurin,WAS,CHI,-,-,,7.47,4.35,57.55,0.28,0.06,0.34,0.00
37,Calvin Ridley,TEN,DET,-,-,,7.45,3.95,53.48,0.32,0.32,1.84,0.00
38,Rashee Rice,KC,LV,-,-,,7.31,4.83,52.14,0.34,0.11,0.51,0.00
39,Xavier Worthy,KC,LV,-,-,,7.30,3.78,50.69,0.35,0.18,1.30,0.00
40,Marquise Brown,KC,LV,-,-,,7.01,3.63,50.61,0.31,0.18,0.86,0.00
41,Christian Watson,GB,JAX,-,-,,6.97,3.39,46.51,0.36,0.30,1.61,0.00
42,DeAndre Hopkins,TEN,DET,-,-,,6.53,3.90,46.76,0.30,0.12,0.49,0.00
43,Ladd McConkey,LAC,NO,-,-,,6.52,3.62,44.16,0.34,0.06,0.62,0.00
44,Jameson Williams,DET,TEN,-,-,,6.39,3.18,45.18,0.28,0.34,1.95,0.00
45,Romeo Doubs,GB,JAX,-,-,,6.33,3.61,44.98,0.30,0.06,0.30,0.00
46,Brian Thomas,JAX,GB,-,-,,6.31,3.49,44.82,0.29,0.11,0.86,0.00
47,Mike Williams,NYJ,NE,-,-,,6.25,3.22,44.20,0.30,0.06,0.30,0.00
48,Tyler Lockett,SEA,BUF,-,-,,6.22,3.71,44.48,0.29,0.06,0.29,0.00
49,Dontayvion Wicks,GB,JAX,-,-,,6.20,3.11,40.60,0.34,0.20,0.95,0.00
50,Courtland Sutton,DEN,CAR,-,-,,6.18,3.37,45.28,0.27,0.05,0.27,0.00
51,Jaxon Smith-Njigba,SEA,BUF,-,-,,6.14,3.96,42.76,0.30,0.12,0.59,0.00
52,Keon Coleman,BUF,SEA,-,-,,6.13,3.31,43.57,0.29,0.06,0.29,0.00
53,Khalil Shakir,BUF,SEA,-,-,,6.05,3.60,42.65,0.29,0.06,0.47,0.00
54,Gabe Davis,JAX,GB,-,-,,5.95,3.11,43.02,0.27,0.05,0.27,0.00
55,Jerry Jeudy,CLE,BAL,-,-,,5.82,3.23,41.25,0.27,0.11,0.70,0.00
56,Curtis Samuel,BUF,SEA,-,-,,5.81,3.40,37.87,0.21,0.68,4.60,0.05
57,Ricky Pearsall,SF,DAL,-,-,,5.78,3.17,38.18,0.31,0.19,1.06,0.00
58,Joshua Palmer,LAC,NO,-,-,,5.76,3.09,38.59,0.31,0.05,0.37,0.00
59,Brandin Cooks,DAL,SF,-,-,,5.67,3.08,38.31,0.29,0.17,0.97,0.00
60,Xavier Legette,CAR,DEN,-,-,,5.58,3.08,39.60,0.25,0.19,1.23,0.00
61,Roman Wilson,PIT,NYG,-,-,,5.58,2.95,39.68,0.24,0.24,1.71,0.00
62,Troy Franklin,DEN,CAR,-,-,,5.51,3.09,37.91,0.28,0.09,0.37,0.00
63,Rashid Shaheed,NO,LAC,-,-,,5.46,2.86,38.53,0.22,0.44,2.86,0.00
64,Jakobi Meyers,LV,KC,-,-,,5.44,3.45,39.00,0.23,0.23,1.21,0.00
65,Malachi Corley,NYJ,NE,-,-,,5.42,3.37,35.53,0.27,0.40,2.43,0.00
66,Josh Downs,IND,HOU,-,-,,5.36,3.46,38.57,0.23,0.17,1.21,0.00
67,Jahan Dotson,PHI,CIN,-,-,,5.33,2.95,38.22,0.24,0.08,0.64,0.00
68,Adonai Mitchell,IND,HOU,-,-,,5.22,2.90,37.91,0.23,0.06,0.46,0.00
69,Diontae Johnson,CAR,DEN,-,-,,5.14,3.76,39.36,0.19,0.10,0.63,0.00
70,Quentin Johnston,LAC,NO,-,-,,5.12,2.91,36.42,0.24,0.06,0.36,0.00
71,Marvin Mims,DEN,CAR,-,-,,5.12,2.63,36.34,0.22,0.22,1.68,0.00
72,Michael Wilson,ARI,MIA,-,-,,5.03,2.71,36.23,0.23,0.06,0.28,0.00
73,Jermaine Burton,CIN,PHI,-,-,,4.98,2.71,34.19,0.25,0.06,0.61,0.00
74,Ja'Lynn Polk,NE,NYJ,-,-,,4.91,2.96,35.12,0.22,0.05,0.77,0.00
75,Darnell Mooney,ATL,TB,-,-,,4.89,2.63,35.52,0.21,0.11,0.79,0.00
76,Wan'Dale Robinson,NYG,PIT,-,-,,4.87,3.18,32.46,0.22,0.55,3.01,0.00
77,DeMario Douglas,NE,NYJ,-,-,,4.84,3.14,34.53,0.20,0.30,1.84,0.00
78,Rashod Bateman,BAL,CLE,-,-,,4.63,2.57,32.81,0.22,0.06,0.28,0.00
79,Devontez Walker,BAL,CLE,-,-,,4.59,2.51,30.91,0.24,0.08,0.55,0.00
80,Adam Thielen,CAR,DEN,-,-,,4.55,3.32,33.18,0.20,0.05,0.34,0.00
81,Jalen McMillan,TB,ATL,-,-,,4.47,2.92,30.91,0.21,0.16,1.17,0.00
82,Darius Slayton,NYG,PIT,-,-,,4.11,2.12,30.65,0.17,0.06,0.28,0.00
83,Greg Dortch,ARI,MIA,-,-,,4.02,2.98,29.26,0.16,0.27,1.35,0.00
84,Tyler Boyd,TEN,DET,-,-,,3.86,2.67,27.94,0.17,0.12,0.46,0.00
85,Odell Beckham,MIA,ARI,-,-,,3.82,2.12,26.37,0.19,0.06,0.44,0.00
86,Kendrick Bourne,NE,NYJ,-,-,,3.67,2.10,26.49,0.16,0.11,0.64,0.00
87,Demarcus Robinson,LAR,MIN,-,-,,3.64,1.92,23.91,0.20,0.04,0.45,0.00
88,Zay Jones,ARI,MIA,-,-,,3.57,2.12,25.10,0.17,0.11,0.39,0.00
89,Elijah Moore,CLE,BAL,-,-,,3.52,2.21,23.98,0.17,0.23,1.05,0.00
90,K.J. Osborn,NE,NYJ,-,-,,3.29,1.78,22.99,0.16,0.05,0.32,0.00
91,Javon Baker,NE,NYJ,-,-,,3.26,1.91,23.12,0.14,0.14,1.05,0.00
92,DJ Chark,LAC,NO,-,-,,3.25,1.80,23.74,0.14,0.05,0.32,0.00
93,Marquez Valdes-Scantling,BUF,SEA,-,-,,3.11,1.33,20.05,0.18,0.09,0.27,0.00
94,Jalin Hyatt,NYG,PIT,-,-,,2.97,1.46,21.71,0.13,0.06,0.19,0.00
95,Tyler Scott,CHI,WAS,-,-,,2.96,1.63,18.47,0.15,0.45,2.15,0.00
96,Josh Reynolds,DEN,CAR,-,-,,2.95,1.73,22.03,0.12,0.06,0.29,0.00
97,A.T. Perry,NO,LAC,-,-,,2.88,1.46,20.75,0.13,0.07,0.27,0.00
98,Jalen Tolbert,DAL,SF,-,-,,2.85,1.76,20.42,0.13,0.04,0.31,0.00
99,Tre Tucker,LV,KC,-,-,,2.83,1.68,17.92,0.14,0.33,1.96,0.00
100,Noah Brown,HOU,IND,-,-,,2.77,1.33,18.43,0.15,0.07,0.22,0.00
101,Jake Bobo,SEA,BUF,-,-,,2.72,1.46,17.93,0.15,0.07,0.29,0.00
102,Treylon Burks,TEN,DET,-,-,,2.69,1.47,19.08,0.11,0.26,1.25,0.00
103,Malik Washington,MIA,ARI,-,-,,2.66,1.45,18.46,0.11,0.22,1.56,0.00
104,Van Jefferson,PIT,NYG,-,-,,2.62,1.43,18.26,0.12,0.12,0.71,0.00
105,Alec Pierce,IND,HOU,-,-,,2.55,1.26,19.25,0.10,0.05,0.25,0.00
106,Jauan Jennings,SF,DAL,-,-,,2.53,1.45,17.75,0.12,0.04,0.39,0.00
107,Cedric Tillman,CLE,BAL,-,-,,2.50,1.31,17.48,0.12,0.06,0.30,0.00
108,Trey Palmer,TB,ATL,-,-,,2.50,1.46,17.95,0.10,0.21,1.04,0.00
109,KJ Hamler,BUF,SEA,-,-,,2.49,1.18,16.39,0.13,0.13,0.66,0.00
110,Jonathan Mingo,CAR,DEN,-,-,,2.44,1.45,17.37,0.11,0.04,0.46,0.00
111,Kalif Raymond,DET,TEN,-,-,,2.42,1.27,15.96,0.10,0.36,2.24,0.00
112,Cedrick Wilson,NO,LAC,-,-,,2.36,1.27,16.02,0.12,0.06,0.35,0.00
113,Andrei Iosivas,CIN,PHI,-,-,,2.36,1.33,16.59,0.11,0.04,0.38,0.00
114,Parker Washington,JAX,GB,-,-,,2.26,1.39,14.95,0.12,0.12,0.46,0.00
115,Calvin Austin,PIT,NYG,-,-,,2.24,1.35,14.47,0.09,0.41,2.48,0.00
116,Brenden Rice,LAC,NO,-,-,,2.18,1.18,14.76,0.11,0.11,0.43,0.00
117,Dyami Brown,WAS,CHI,-,-,,2.13,1.20,14.36,0.11,0.11,0.33,0.00
118,Mecole Hardman,KC,LV,-,-,,2.04,0.97,12.69,0.09,0.35,2.29,0.00
119,Chris Moore,ARI,MIA,-,-,,2.02,1.06,13.25,0.10,0.19,0.96,0.00
120,Allen Lazard,NYJ,NE,-,-,,1.99,0.96,13.13,0.11,0.11,0.21,0.00
121,Tutu Atwell,LAR,MIN,-,-,,1.95,1.16,14.81,0.06,0.18,1.04,0.00
122,Braxton Berrios,MIA,ARI,-,-,,1.91,1.31,12.99,0.09,0.09,0.70,0.00
123,Robert Woods,HOU,IND,-,-,,1.91,1.24,12.72,0.10,0.10,0.38,0.00
124,Justin Watson,KC,LV,-,-,,1.89,1.03,13.53,0.09,0.00,0.00,0.00
125,Bo Melton,GB,JAX,-,-,,1.81,0.90,11.78,0.10,0.03,0.31,0.00
126,Tim Patrick,DEN,CAR,-,-,,1.76,1.02,12.55,0.08,0.05,0.24,0.00
127,Kadarius Toney,KC,LV,-,-,,1.74,0.87,10.74,0.06,0.50,3.06,0.00
128,Brandon Johnson,DEN,CAR,-,-,,1.68,0.87,10.75,0.09,0.09,0.61,0.00
129,David Bell,CLE,BAL,-,-,,1.67,1.09,11.52,0.08,0.08,0.33,0.00
130,Xavier Hutchinson,HOU,IND,-,-,,1.57,0.87,10.93,0.06,0.19,1.19,0.00
131,Russell Gage,BAL,CLE,-,-,,1.56,0.87,9.97,0.09,0.09,0.26,0.00
132,Quez Watkins,PIT,NYG,-,-,,1.54,0.82,11.53,0.06,0.06,0.29,0.00
133,D.J. Montgomery,IND,HOU,-,-,,1.53,0.95,11.37,0.06,0.06,0.36,0.00
134,Donovan Peoples-Jones,DET,TEN,-,-,,1.53,0.82,11.45,0.06,0.06,0.25,0.00
135,Nelson Agholor,BAL,CLE,-,-,,1.47,0.78,9.68,0.08,0.08,0.23,0.00
136,Rakim Jarrett,TB,ATL,-,-,,1.45,0.83,10.34,0.06,0.12,0.59,0.00
