,,Week 18 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,DAL,WAS,-,-,,7.28,20.50,309.83,2.92,0.93,0.62,0.06,0.12,0.06,0.00,0.00
2,NYJ,MIA,-,-,,7.09,21.00,357.15,2.89,0.90,0.60,0.06,0.12,0.06,0.00,0.00
3,BAL,CLE,-,-,,6.97,20.00,314.44,2.85,0.85,0.61,0.06,0.12,0.06,0.00,0.00
4,SF,ARI,-,-,,6.85,19.50,336.01,2.80,0.83,0.60,0.06,0.12,0.06,0.00,0.00
5,KC,DEN,-,-,,6.71,19.25,269.99,2.67,0.83,0.59,0.06,0.12,0.06,0.00,0.00
6,DET,MIN,-,-,,6.43,20.75,91.09,2.69,0.87,0.56,0.06,0.06,0.06,0.00,0.00
7,PIT,CIN,-,-,,6.24,22.25,343.41,2.58,0.74,0.52,0.06,0.11,0.06,0.00,0.00
8,HOU,TEN,-,-,,6.19,21.00,318.91,2.59,0.78,0.60,0.06,0.06,0.06,0.00,0.00
9,CLE,BAL,-,-,,6.16,24.50,373.27,2.46,0.73,0.56,0.06,0.11,0.06,0.00,0.00
10,BUF,NE,-,-,,6.13,20.50,299.21,2.52,0.84,0.54,0.06,0.06,0.06,0.00,0.00
11,ATL,CAR,-,-,,6.09,19.50,298.12,2.49,0.81,0.56,0.06,0.06,0.06,0.00,0.00
12,PHI,NYG,-,-,,6.07,19.00,265.65,2.59,0.78,0.54,0.06,0.06,0.06,0.00,0.00
13,LAR,SEA,-,-,,6.06,20.75,318.20,2.56,0.75,0.56,0.06,0.06,0.06,0.00,0.00
14,GB,CHI,-,-,,6.00,21.50,334.05,2.49,0.79,0.55,0.06,0.06,0.06,0.00,0.00
15,MIA,NYJ,-,-,,5.87,24.00,352.60,2.45,0.74,0.57,0.06,0.06,0.06,0.00,0.00
16,TB,NO,-,-,,5.76,20.25,320.22,2.35,0.76,0.53,0.06,0.06,0.06,0.00,0.00
17,CHI,GB,-,-,,5.75,24.50,366.84,2.42,0.75,0.52,0.06,0.06,0.06,0.00,0.00
18,IND,JAX,-,-,,5.74,22.25,328.76,2.35,0.72,0.54,0.06,0.06,0.06,0.00,0.00
19,SEA,LAR,-,-,,5.73,26.25,395.87,2.44,0.74,0.51,0.06,0.06,0.06,0.00,0.00
20,CIN,PIT,-,-,,5.71,21.25,309.43,2.33,0.76,0.52,0.06,0.06,0.06,0.00,0.00
21,JAX,IND,-,-,,5.71,24.25,349.37,2.45,0.70,0.52,0.06,0.06,0.06,0.00,0.00
22,LV,LAC,-,-,,5.67,22.25,344.24,2.46,0.69,0.52,0.06,0.06,0.06,0.00,0.00
23,LAC,LV,-,-,,5.66,21.25,396.11,2.39,0.70,0.52,0.06,0.06,0.06,0.00,0.00
24,MIN,DET,-,-,,5.62,26.25,395.75,2.44,0.68,0.51,0.06,0.06,0.06,0.00,0.00
25,NO,TB,-,-,,5.51,22.75,316.45,2.25,0.73,0.51,0.06,0.06,0.06,0.00,0.00
26,NE,BUF,-,-,,5.48,24.00,379.53,2.32,0.68,0.51,0.06,0.06,0.06,0.00,0.00
27,TEN,HOU,-,-,,5.42,24.00,382.61,2.22,0.68,0.51,0.06,0.06,0.06,0.00,0.00
28,WAS,DAL,-,-,,5.37,26.00,368.51,2.20,0.68,0.51,0.06,0.06,0.06,0.00,0.00
29,CAR,ATL,-,-,,5.27,26.00,361.07,2.16,0.67,0.50,0.06,0.06,0.06,0.00,0.00
30,NYG,PHI,-,-,,5.22,24.00,358.47,2.25,0.60,0.49,0.05,0.05,0.05,0.00,0.00
31,DEN,KC,-,-,,5.19,23.25,386.26,2.10,0.66,0.50,0.06,0.06,0.06,0.00,0.00
32,ARI,SF,-,-,,5.16,23.50,385.81,2.05,0.67,0.50,0.06,0.06,0.06,0.00,0.00
