,,,Week 15 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,LAR,-,-,,16.78,15.10,77.59,0.69,4.28,33.81,0.25
2,Breece Hall,NYJ,JAX,-,-,,13.59,15.70,72.11,0.53,3.34,24.80,0.12
3,Jonathan Taylor,IND,DEN,-,-,,12.62,15.60,72.73,0.59,1.90,14.47,0.06
4,Bijan Robinson,ATL,LV,-,-,,12.40,14.90,67.49,0.49,2.82,21.08,0.10
5,Derrick Henry,BAL,NYG,-,-,,12.21,14.40,70.19,0.66,1.20,8.73,0.06
6,Saquon Barkley,PHI,PIT,-,-,,12.16,15.40,69.77,0.42,2.62,19.42,0.12
7,Jahmyr Gibbs,DET,BUF,-,-,,11.90,11.70,58.85,0.46,3.33,24.77,0.13
8,Josh Jacobs,GB,SEA,-,-,,11.31,14.10,64.26,0.49,2.18,15.86,0.06
9,Isiah Pacheco,KC,CLE,-,-,,11.29,12.90,60.44,0.46,2.46,18.22,0.11
10,Kyren Williams,LAR,SF,-,-,,10.72,13.70,58.18,0.49,2.16,16.02,0.06
11,Travis Etienne,JAX,NYJ,-,-,,10.53,14.20,58.59,0.40,2.55,19.15,0.06
12,David Montgomery,DET,BUF,-,-,,10.17,11.90,55.99,0.55,1.25,9.10,0.06
13,De'Von Achane,MIA,HOU,-,-,,9.94,9.90,51.82,0.39,2.34,18.13,0.10
14,Rachaad White,TB,LAC,-,-,,9.93,13.20,51.35,0.35,2.75,20.35,0.11
15,James Cook,BUF,DET,-,-,,9.87,11.90,54.63,0.30,2.45,18.91,0.12
16,Kenneth Walker,SEA,GB,-,-,,9.80,13.60,57.36,0.41,1.71,12.48,0.06
17,Joe Mixon,HOU,MIA,-,-,,9.67,12.70,55.65,0.35,2.26,16.47,0.06
18,James Conner,ARI,NE,-,-,,9.62,12.00,52.79,0.42,1.97,14.65,0.06
19,Aaron Jones,MIN,CHI,-,-,,9.57,11.90,51.65,0.35,2.14,15.84,0.12
20,Najee Harris,PIT,PHI,-,-,,9.16,13.30,53.44,0.39,1.53,11.13,0.06
21,Zamir White,LV,ATL,-,-,,9.05,12.80,52.70,0.37,1.65,11.96,0.06
22,Nick Chubb,CLE,KC,-,-,,8.97,11.80,52.30,0.45,0.87,6.76,0.06
23,D'Andre Swift,CHI,MIN,-,-,,8.90,11.20,47.77,0.36,2.19,16.02,0.06
24,Rhamondre Stevenson,NE,ARI,-,-,,8.83,12.60,50.82,0.34,1.82,13.43,0.06
25,Devin Singletary,NYG,BAL,-,-,,8.71,13.50,51.99,0.29,1.98,14.09,0.06
26,Alvin Kamara,NO,WAS,-,-,,8.56,10.10,41.36,0.23,3.23,23.87,0.11
27,Ezekiel Elliott,DAL,CAR,-,-,,8.55,10.60,45.04,0.39,1.77,12.86,0.07
28,Gus Edwards,LAC,TB,-,-,,8.53,11.60,49.70,0.41,1.00,7.39,0.06
29,Javonte Williams,DEN,IND,-,-,,8.49,12.30,50.74,0.29,1.83,13.18,0.06
30,Zack Moss,CIN,TEN,-,-,,8.22,10.20,44.05,0.35,1.87,13.59,0.06
31,Raheem Mostert,MIA,HOU,-,-,,8.19,9.80,44.85,0.38,1.49,10.67,0.06
32,Tony Pollard,TEN,CIN,-,-,,8.13,11.80,49.10,0.27,1.78,12.98,0.05
33,Jonathon Brooks,CAR,DAL,-,-,,7.79,10.60,42.66,0.29,1.90,14.22,0.06
34,Jaylen Warren,PIT,PHI,-,-,,7.58,9.10,38.71,0.22,2.35,17.32,0.11
35,Chase Brown,CIN,TEN,-,-,,7.36,8.90,38.73,0.24,2.22,16.91,0.06
36,Tyjae Spears,TEN,CIN,-,-,,7.28,8.30,34.53,0.20,2.60,19.06,0.12
37,Austin Ekeler,WAS,NO,-,-,,6.91,7.70,30.63,0.23,2.38,18.05,0.11
38,Brian Robinson,WAS,NO,-,-,,6.87,10.40,39.37,0.29,1.21,8.94,0.05
39,Zach Charbonnet,SEA,GB,-,-,,6.68,8.10,34.17,0.25,1.90,14.02,0.06
40,Jerome Ford,CLE,KC,-,-,,5.99,6.80,28.10,0.23,1.99,14.36,0.06
41,Trey Benson,ARI,NE,-,-,,5.93,7.60,32.42,0.24,1.23,8.92,0.06
42,Chuba Hubbard,CAR,DAL,-,-,,5.80,8.50,32.43,0.22,1.23,8.76,0.06
43,Blake Corum,LAR,SF,-,-,,5.24,6.50,27.46,0.22,1.10,8.16,0.06
44,Tyler Allgeier,ATL,LV,-,-,,5.11,7.30,31.14,0.16,1.04,7.32,0.05
45,Ty Chandler,MIN,CHI,-,-,,5.10,6.70,27.35,0.17,1.30,9.82,0.06
46,Jaleel McLaughlin,DEN,IND,-,-,,5.06,6.50,27.72,0.17,1.25,9.03,0.06
47,Kendre Miller,NO,WAS,-,-,,4.77,6.00,24.87,0.19,1.08,7.79,0.06
48,Khalil Herbert,CHI,MIN,-,-,,4.70,6.30,27.26,0.19,0.62,4.74,0.06
49,Rico Dowdle,DAL,CAR,-,-,,4.65,5.90,25.27,0.16,1.19,8.64,0.05
50,Antonio Gibson,NE,ARI,-,-,,4.38,4.90,19.02,0.11,1.96,14.59,0.06
51,Dameon Pierce,HOU,MIA,-,-,,4.27,6.20,26.96,0.19,0.59,4.36,0.00
52,Kimani Vidal,LAC,TB,-,-,,4.27,5.50,23.14,0.20,1.03,7.59,0.00
53,Elijah Mitchell,SF,LAR,-,-,,4.18,5.20,25.36,0.19,0.66,5.01,0.00
54,Ray Davis,BUF,DET,-,-,,4.14,5.00,22.19,0.15,0.85,6.60,0.06
55,MarShawn Lloyd,GB,SEA,-,-,,4.02,4.80,21.06,0.13,0.94,7.14,0.07
56,Alexander Mattison,LV,ATL,-,-,,3.83,5.20,20.81,0.13,0.90,6.09,0.06
57,Roschon Johnson,CHI,MIN,-,-,,3.71,3.60,15.10,0.15,1.16,8.76,0.07
58,Clyde Edwards-Helaire,KC,CLE,-,-,,3.70,3.90,16.92,0.13,1.18,8.70,0.06
59,AJ Dillon,GB,SEA,-,-,,3.47,4.60,19.35,0.18,0.63,4.57,0.00
60,Will Shipley,PHI,PIT,-,-,,3.42,4.10,18.02,0.12,0.74,5.40,0.06
61,Braelon Allen,NYJ,JAX,-,-,,3.23,4.10,17.48,0.15,0.46,3.42,0.04
62,Deuce Vaughn,DAL,CAR,-,-,,3.22,3.20,14.08,0.09,0.98,7.34,0.09
63,Bucky Irving,TB,LAC,-,-,,3.20,4.20,16.27,0.10,0.93,6.77,0.05
64,Jamaal Williams,NO,WAS,-,-,,3.11,4.70,19.00,0.14,0.52,3.66,0.00
65,Jaylen Wright,MIA,HOU,-,-,,2.99,3.50,15.76,0.11,0.65,4.49,0.05
66,J.K. Dobbins,LAC,TB,-,-,,2.89,3.40,14.09,0.12,0.70,5.24,0.04
67,Isaac Guerendo,SF,LAR,-,-,,2.84,3.40,15.62,0.13,0.66,4.94,0.00
68,Chris Rodriguez,WAS,NO,-,-,,2.79,4.20,16.33,0.14,0.44,3.21,0.00
69,Tyrone Tracy,NYG,BAL,-,-,,2.70,3.10,11.97,0.08,0.88,6.58,0.06
70,Ty Johnson,BUF,DET,-,-,,2.70,2.60,11.24,0.07,1.01,7.32,0.07
71,Emari Demercado,ARI,NE,-,-,,2.61,2.40,10.31,0.07,1.10,8.03,0.06
72,Tank Bigsby,JAX,NYJ,-,-,,2.55,3.60,15.07,0.11,0.54,3.86,0.00
73,D'Onta Foreman,CLE,KC,-,-,,2.49,3.70,15.25,0.10,0.49,3.63,0.00
74,Kenneth Gainwell,PHI,PIT,-,-,,2.45,2.60,11.10,0.06,0.83,6.15,0.06
75,Justice Hill,BAL,NYG,-,-,,2.40,1.80,8.06,0.06,1.19,8.71,0.06
76,Kevin Harris,NE,ARI,-,-,,2.39,3.50,13.94,0.11,0.46,3.33,0.00
77,Evan Hull,IND,DEN,-,-,,2.37,2.50,10.73,0.06,0.77,5.72,0.06
78,Rasheen Ali,BAL,NYG,-,-,,2.30,3.00,13.64,0.07,0.70,5.17,0.00
79,Eric Gray,NYG,BAL,-,-,,2.28,3.30,12.75,0.09,0.64,4.68,0.00
80,Audric Estime,DEN,IND,-,-,,2.26,3.10,12.77,0.11,0.48,3.20,0.00
81,Keaton Mitchell,BAL,NYG,-,-,,2.13,2.70,12.84,0.06,0.64,4.82,0.00
82,Dylan Laube,LV,ATL,-,-,,2.02,2.50,10.23,0.08,0.70,5.16,0.00
83,Jase McClellan,ATL,LV,-,-,,1.88,1.70,6.98,0.06,0.62,4.66,0.06
84,Trey Sermon,IND,DEN,-,-,,1.81,2.60,11.17,0.07,0.36,2.71,0.00
85,Samaje Perine,DEN,IND,-,-,,1.78,1.50,5.97,0.04,0.99,7.06,0.04
86,Frank Gore,BUF,DET,-,-,,1.75,2.40,10.51,0.07,0.38,2.76,0.00
