,,,Week 15 Game,,,,Fantasy,Rushing,,,Receiving,,
87,Chase Edmonds,TB,LAC,-,-,,1.72,1.80,6.88,0.06,0.91,6.76,0.00
88,Miles Sanders,CAR,DAL,-,-,,1.69,2.80,10.74,0.06,0.35,2.56,0.00
89,Cam Akers,HOU,MIA,-,-,,1.65,2.60,10.85,0.07,0.21,1.41,0.00
90,DeWayne McBride,MIN,CHI,-,-,,1.53,2.10,8.71,0.07,0.32,2.39,0.00
91,Cordarrelle Patterson,PIT,PHI,-,-,,1.52,1.90,7.76,0.06,0.51,3.84,0.00
92,Craig Reynolds,DET,BUF,-,-,,1.50,1.90,8.43,0.06,0.40,2.99,0.00
93,Michael Carter,ARI,NE,-,-,,1.46,1.60,6.69,0.06,0.63,4.32,0.00
94,Jawhar Jordan,HOU,MIA,-,-,,1.37,1.90,8.16,0.06,0.25,1.90,0.00
95,Emani Bailey,KC,CLE,-,-,,1.35,2.20,9.73,0.00,0.41,3.73,0.00
96,Kyle Juszczyk,SF,LAR,-,-,,1.31,0.30,1.03,0.00,0.85,7.91,0.07
97,Isaiah Spiller,LAC,TB,-,-,,1.20,1.60,6.78,0.06,0.24,1.62,0.00
98,Pierre Strong,CLE,KC,-,-,,1.20,1.50,6.29,0.06,0.28,2.13,0.00
99,Jeff Wilson,MIA,HOU,-,-,,1.18,1.50,6.44,0.06,0.24,1.76,0.00
100,Ronnie Rivers,LAR,SF,-,-,,1.15,1.60,6.42,0.06,0.23,1.49,0.00
101,Isaiah Davis,NYJ,JAX,-,-,,1.14,1.50,6.49,0.06,0.16,1.26,0.00
102,Blake Watson,DEN,IND,-,-,,1.13,1.50,6.04,0.06,0.23,1.69,0.00
103,Israel Abanikanda,NYJ,JAX,-,-,,1.08,2.10,8.90,0.00,0.27,1.89,0.00
104,Boston Scott,LAR,SF,-,-,,1.04,1.40,5.76,0.06,0.14,1.05,0.00
105,Matt Breida,SF,LAR,-,-,,0.98,1.10,4.96,0.06,0.16,1.23,0.00
106,Dare Ogunbowale,HOU,MIA,-,-,,0.82,0.60,2.65,0.00,0.76,5.58,0.00
107,Zach Evans,LAR,SF,-,-,,0.70,1.50,5.74,0.00,0.14,1.29,0.00
108,Raheem Blackshear,CAR,DAL,-,-,,0.68,0.80,3.15,0.00,0.49,3.69,0.00
109,Ameer Abdullah,LV,ATL,-,-,,0.64,0.60,2.49,0.00,0.52,3.93,0.00
110,Elijah Dotson,LAC,TB,-,-,,0.59,1.10,4.40,0.00,0.20,1.50,0.00
111,Travis Homer,CHI,MIN,-,-,,0.51,0.80,3.43,0.00,0.24,1.70,0.00
112,Nyheim Hines,CLE,KC,-,-,,0.50,0.40,1.63,0.00,0.47,3.36,0.00
113,Emanuel Wilson,GB,SEA,-,-,,0.49,0.60,2.53,0.02,0.15,1.12,0.00
114,Cody Schrader,SF,LAR,-,-,,0.49,0.90,4.43,0.00,0.21,0.43,0.00
115,D'Ernest Johnson,JAX,NYJ,-,-,,0.49,0.90,3.76,0.00,0.15,1.14,0.00
116,Jordan Mason,SF,LAR,-,-,,0.48,0.50,2.28,0.02,0.18,1.27,0.00
117,Malik Davis,DAL,CAR,-,-,,0.47,0.80,3.53,0.00,0.16,1.20,0.00
118,DeeJay Dallas,ARI,NE,-,-,,0.46,0.60,2.55,0.00,0.29,2.09,0.00
119,Kenny McIntosh,SEA,GB,-,-,,0.39,0.70,2.93,0.00,0.13,1.00,0.00
120,Kene Nwangwu,MIN,CHI,-,-,,0.36,0.70,2.85,0.00,0.13,0.73,0.00
121,Keilan Robinson,JAX,NYJ,-,-,,0.31,0.50,2.05,0.00,0.13,1.00,0.00
122,Sean Tucker,TB,LAC,-,-,,0.31,0.50,1.95,0.00,0.13,1.14,0.00
123,Hassan Haskins,TEN,CIN,-,-,,0.31,0.60,2.42,0.00,0.13,0.71,0.00
124,JaMycal Hasty,NE,ARI,-,-,,0.26,0.40,1.59,0.00,0.13,0.96,0.00
125,Keaontay Ingram,KC,CLE,-,-,,0.23,0.40,1.77,0.00,0.10,0.52,0.00
126,Patrick Taylor,SF,LAR,-,-,,0.20,0.20,0.91,0.00,0.14,1.07,0.00
127,Tyrion Davis-Price,PHI,PIT,-,-,,0.12,0.20,0.87,0.00,0.10,0.31,0.00
128,Austin Jones,WAS,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,John Kelly,BAL,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130,Jermar Jefferson,DET,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,Jakob Johnson,NYG,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,DJ Williams,TB,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
133,Zonovan Knight,DET,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134,SaRodorick Thompson,LAR,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,Jonathan Ward,PIT,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Kairee Robinson,SEA,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,Jaden Shirden,CAR,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,Deneric Prince,KC,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,Henry Pearson,GB,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,Jordan Mims,NO,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141,Jeremy McNichols,WAS,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,Tyreik McAllister,LV,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,Lorenzo Lingard,NYG,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,Tyler Badie,DEN,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145,Nate McCrary,GB,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,Nick Bawden,HOU,MIA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147,Dante Miller,NYG,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
148,Andrew Beck,HOU,MIA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
149,Lew Nichols,PHI,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150,Khari Blasingame,CHI,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
151,La'Mical Perine,PIT,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
152,Mike Boone,CAR,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153,Patrick Ricard,BAL,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154,Gary Brightwell,JAX,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
155,Jacob Saylors,CLE,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
156,Chris Brooks,MIA,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,Carson Steele,KC,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
158,British Brooks,HOU,MIA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,Xazavian Valladay,NYJ,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
160,Brittain Brown,LV,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
161,Ian Wheeler,CHI,MIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
162,Spencer Brown,ATL,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163,Avery Williams,ATL,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
164,Robert Burns,ATL,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
165,Ramon Jefferson,TB,LAC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
166,Michael Burton,DEN,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
167,Terrell Jennings,NE,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
168,Noah Cain,CIN,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
169,Tony Jones,ARI,NE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
170,Julius Chestnut,TEN,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
171,Joshua Kelley,NYG,BAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
172,Jack Colletto,PIT,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
173,Jacob Kibodi,NO,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
174,Chris Collier,BAL,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
175,Kobe Lewis,SEA,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
176,Elijah Collins,CIN,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
177,Hunter Luepke,DAL,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
178,Snoop Conner,DAL,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179,Sincere McCormick,LV,ATL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
180,Daijun Edwards,PIT,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181,Anthony McFarland,MIA,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
182,Chris Evans,CIN,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
183,Ellis Merriweather,GB,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
184,Darrynton Evans,BUF,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
185,Kendall Milton,PHI,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
186,Demetric Felton,IND,DEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
187,Chris Myarick,JAX,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,Deshaun Fenwick,NE,ARI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
189,Jaret Patterson,LAC,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
190,Royce Freeman,DAL,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
191,Nathaniel Peat,DAL,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
192,Jake Funk,DET,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
193,Adam Prentice,NO,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
194,Myles Gaskin,MIN,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
195,Louis Rees-Zammit,KC,CLE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
196,Reggie Gilliam,BUF,DET,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
197,Aidan Robbins,CLE,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
198,Tyler Goodson,IND,DEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
199,James Robinson,NO,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
200,Troy Hairston,HOU,MIA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
201,Aaron Shampklin,PIT,PHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
202,Hassan Hall,ARI,NE,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
203,Jabari Small,TEN,CIN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
204,C.J. Ham,MIN,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
205,J.J. Taylor,HOU,MIA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
206,George Holani,SEA,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
207,Sione Vaki,DET,BUF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
208,Zander Horvath,MIA,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
209,Ke'Shawn Vaughn,SF,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
210,Jarveon Howard,GB,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
211,Carlos Washington,ATL,LV,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
212,Mohamed Ibrahim,MIN,CHI,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
213,Michael Wiley,WAS,NO,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
214,Alec Ingold,MIA,HOU,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
215,Trayveon Williams,CIN,TEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
216,Deon Jackson,NYJ,JAX,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217,Owen Wright,BAL,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
218,Jalen Jackson,JAX,NYJ,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
