,,Week 7 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,BAL,TB,-,-,,7.09,20.50,303.93,2.90,0.86,0.62,0.06,0.12,0.06,0.00,0.00
2,SF,KC,-,-,,7.09,23.50,387.94,2.90,0.86,0.62,0.06,0.12,0.06,0.00,0.00
3,NYJ,PIT,-,-,,6.85,21.00,308.04,2.79,0.87,0.58,0.06,0.12,0.06,0.00,0.00
4,KC,SF,-,-,,6.73,25.50,399.20,2.68,0.83,0.60,0.06,0.12,0.06,0.00,0.00
5,CLE,CIN,-,-,,6.47,23.75,352.55,2.59,0.76,0.59,0.06,0.12,0.06,0.00,0.00
6,BUF,TEN,-,-,,6.47,20.25,314.58,2.67,0.89,0.57,0.06,0.06,0.06,0.00,0.00
7,DET,MIN,-,-,,6.35,22.50,93.99,2.65,0.86,0.56,0.06,0.06,0.06,0.00,0.00
8,MIA,IND,-,-,,6.30,24.00,347.88,2.63,0.79,0.61,0.06,0.06,0.06,0.00,0.00
9,PIT,NYJ,-,-,,6.21,22.00,340.47,2.57,0.74,0.51,0.06,0.11,0.06,0.00,0.00
10,GB,HOU,-,-,,6.11,23.00,376.02,2.53,0.80,0.56,0.06,0.06,0.06,0.00,0.00
11,HOU,GB,-,-,,6.09,25.50,373.10,2.54,0.77,0.59,0.06,0.06,0.06,0.00,0.00
12,PHI,NYG,-,-,,6.07,20.00,270.65,2.59,0.78,0.54,0.06,0.06,0.06,0.00,0.00
13,ATL,SEA,-,-,,6.07,22.25,326.89,2.48,0.81,0.56,0.06,0.06,0.06,0.00,0.00
14,JAX,NE,-,-,,5.94,18.00,285.51,2.55,0.73,0.55,0.06,0.06,0.06,0.00,0.00
15,LAR,LV,-,-,,5.93,21.00,394.33,2.51,0.73,0.55,0.06,0.06,0.06,0.00,0.00
16,SEA,ATL,-,-,,5.89,25.75,359.57,2.51,0.76,0.52,0.06,0.06,0.06,0.00,0.00
17,CIN,CLE,-,-,,5.87,22.75,330.41,2.39,0.78,0.54,0.06,0.06,0.06,0.00,0.00
18,MIN,DET,-,-,,5.80,25.50,390.84,2.52,0.70,0.53,0.06,0.06,0.06,0.00,0.00
19,NO,DEN,-,-,,5.79,19.50,271.25,2.36,0.77,0.53,0.06,0.06,0.06,0.00,0.00
20,IND,MIA,-,-,,5.71,25.00,383.07,2.34,0.72,0.54,0.06,0.06,0.06,0.00,0.00
21,LV,LAR,-,-,,5.64,25.00,387.67,2.45,0.68,0.51,0.06,0.06,0.06,0.00,0.00
22,LAC,ARI,-,-,,5.63,23.00,357.94,2.38,0.70,0.52,0.06,0.06,0.06,0.00,0.00
23,WAS,CAR,-,-,,5.56,19.50,298.12,2.28,0.70,0.53,0.06,0.06,0.06,0.00,0.00
24,TB,BAL,-,-,,5.54,25.50,379.64,2.26,0.73,0.51,0.06,0.06,0.06,0.00,0.00
25,ARI,LAC,-,-,,5.49,22.00,342.71,2.19,0.71,0.53,0.06,0.06,0.06,0.00,0.00
26,TEN,BUF,-,-,,5.34,27.25,400.75,2.19,0.67,0.51,0.06,0.06,0.06,0.00,0.00
27,NYG,PHI,-,-,,5.32,24.00,358.47,2.30,0.62,0.50,0.06,0.06,0.06,0.00,0.00
28,CAR,WAS,-,-,,5.27,22.50,321.17,2.16,0.67,0.50,0.06,0.06,0.06,0.00,0.00
29,NE,JAX,-,-,,5.23,24.50,341.88,2.21,0.65,0.49,0.05,0.05,0.05,0.00,0.00
30,DEN,NO,-,-,,5.21,23.00,336.42,2.11,0.67,0.50,0.06,0.06,0.06,0.00,0.00
