,,Week 4 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,SF,NE,-,-,,7.42,16.75,278.66,3.03,0.90,0.65,0.06,0.13,0.06,0.00,0.00
2,NYJ,DEN,-,-,,7.12,18.25,264.93,2.90,0.91,0.60,0.06,0.12,0.06,0.00,0.00
3,BAL,BUF,-,-,,7.06,22.25,368.10,2.89,0.86,0.61,0.06,0.12,0.06,0.00,0.00
4,DAL,NYG,-,-,,7.06,20.25,271.90,2.84,0.91,0.60,0.06,0.12,0.06,0.00,0.00
5,KC,LAC,-,-,,6.79,21.00,336.60,2.71,0.84,0.60,0.06,0.12,0.06,0.00,0.00
6,DET,SEA,-,-,,6.56,21.50,322.54,2.74,0.89,0.57,0.06,0.06,0.06,0.00,0.00
7,CLE,LV,-,-,,6.50,20.50,390.75,2.60,0.77,0.59,0.06,0.12,0.06,0.00,0.00
8,MIA,TEN,-,-,,6.43,19.75,311.68,2.69,0.81,0.62,0.06,0.06,0.06,0.00,0.00
9,HOU,JAX,-,-,,6.35,22.00,327.30,2.65,0.80,0.62,0.06,0.06,0.06,0.00,0.00
10,PIT,IND,-,-,,6.33,22.50,338.90,2.61,0.75,0.52,0.06,0.12,0.06,0.00,0.00
11,PHI,TB,-,-,,6.12,22.50,315.06,2.61,0.79,0.55,0.06,0.06,0.06,0.00,0.00
12,GB,MIN,-,-,,6.05,20.00,89.84,2.51,0.79,0.55,0.06,0.06,0.06,0.00,0.00
13,CIN,CAR,-,-,,6.04,20.50,303.68,2.47,0.80,0.56,0.06,0.06,0.06,0.00,0.00
14,CHI,LAR,-,-,,6.04,22.75,372.92,2.54,0.78,0.54,0.06,0.06,0.06,0.00,0.00
15,BUF,BAL,-,-,,5.95,25.25,378.05,2.45,0.82,0.52,0.06,0.06,0.06,0.00,0.00
16,ATL,NO,-,-,,5.92,20.25,320.22,2.41,0.78,0.54,0.06,0.06,0.06,0.00,0.00
17,SEA,DET,-,-,,5.81,27.50,403.95,2.47,0.75,0.52,0.06,0.06,0.06,0.00,0.00
18,TB,PHI,-,-,,5.74,24.50,361.55,2.34,0.76,0.53,0.06,0.06,0.06,0.00,0.00
19,LAR,CHI,-,-,,5.71,24.25,350.57,2.41,0.71,0.53,0.06,0.06,0.06,0.00,0.00
20,JAX,HOU,-,-,,5.69,25.50,392.48,2.44,0.70,0.52,0.06,0.06,0.06,0.00,0.00
21,LV,CLE,-,-,,5.59,23.00,331.86,2.43,0.68,0.51,0.06,0.06,0.06,0.00,0.00
22,ARI,WAS,-,-,,5.57,21.25,314.08,2.21,0.72,0.54,0.06,0.06,0.06,0.00,0.00
23,IND,PIT,-,-,,5.56,22.00,313.63,2.28,0.70,0.53,0.06,0.06,0.06,0.00,0.00
24,MIN,GB,-,-,,5.54,25.00,369.97,2.41,0.67,0.50,0.06,0.06,0.06,0.00,0.00
25,LAC,KC,-,-,,5.53,24.00,391.31,2.34,0.68,0.51,0.06,0.06,0.06,0.00,0.00
26,NO,ATL,-,-,,5.51,24.25,350.56,2.25,0.73,0.51,0.06,0.06,0.06,0.00,0.00
27,WAS,ARI,-,-,,5.44,23.75,362.64,2.23,0.69,0.52,0.06,0.06,0.06,0.00,0.00
28,CAR,CIN,-,-,,5.37,25.50,363.21,2.20,0.68,0.51,0.06,0.06,0.06,0.00,0.00
29,NYG,DAL,-,-,,5.34,24.25,357.78,2.31,0.62,0.51,0.06,0.06,0.06,0.00,0.00
30,TEN,MIA,-,-,,5.29,26.25,391.17,2.17,0.67,0.50,0.06,0.06,0.06,0.00,0.00
31,NE,SF,-,-,,5.10,28.25,417.61,2.16,0.63,0.47,0.05,0.05,0.05,0.00,0.00
32,DEN,NYJ,-,-,,5.09,24.25,354.11,2.06,0.65,0.49,0.05,0.05,0.05,0.00,0.00
