,,,Week 9 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Harrison Butker,KC,TB,-,-,,8.92,1.90,2.15,88.4,3.22,3.35,96.1
2,Justin Tucker,BAL,DEN,-,-,,8.87,1.95,2.20,88.6,3.02,3.09,97.7
3,Evan McPherson,CIN,LV,-,-,,8.41,1.80,2.05,87.8,2.98,3.11,95.8
4,Brandon Aubrey,DAL,ATL,-,-,,8.37,1.82,2.06,88.3,2.91,3.03,96.0
5,Tyler Bass,BUF,MIA,-,-,,7.88,1.71,2.02,84.7,2.78,2.91,95.5
6,Younghoe Koo,ATL,DAL,-,-,,7.72,1.79,2.03,88.2,2.32,2.38,97.5
7,Greg Zuerlein,NYJ,HOU,-,-,,7.62,1.74,2.04,85.3,2.40,2.52,95.2
8,Jake Elliott,PHI,JAX,-,-,,7.50,1.66,1.90,87.4,2.52,2.64,95.5
9,Jason Sanders,MIA,BUF,-,-,,7.45,1.56,1.86,83.9,2.77,2.89,95.8
10,Dustin Hopkins,CLE,LAC,-,-,,7.41,1.66,1.96,84.7,2.43,2.55,95.3
11,Ka'imi Fairbairn,HOU,NYJ,-,-,,7.30,1.54,1.82,84.6,2.68,2.79,96.1
12,Jason Myers,SEA,LAR,-,-,,7.15,1.58,1.87,84.5,2.23,2.34,95.3
13,Cameron Dicker,LAC,CLE,-,-,,7.14,1.63,1.86,87.6,2.25,2.36,95.3
14,Cairo Santos,CHI,ARI,-,-,,7.07,1.62,1.86,87.1,2.21,2.33,94.8
15,Matt Prater,ARI,CHI,-,-,,6.98,1.65,1.94,85.1,2.06,2.18,94.5
16,Matt Gay,IND,MIN,-,-,,6.98,1.65,1.94,85.1,2.06,2.18,94.5
17,Joshua Karty,LAR,SEA,-,-,,6.94,1.49,1.84,81.0,2.47,2.59,95.4
18,Blake Grupe,NO,CAR,-,-,,6.93,1.53,1.82,84.1,2.16,2.27,95.2
19,Anders Carlson,GB,DET,-,-,,6.85,1.47,1.82,80.8,2.47,2.58,95.7
20,Graham Gano,NYG,WAS,-,-,,6.74,1.62,1.91,84.8,1.91,2.02,94.6
21,Nick Folk,TEN,NE,-,-,,6.74,1.62,1.91,84.8,1.91,2.02,94.6
22,Daniel Carlson,LV,CIN,-,-,,6.72,1.65,1.87,88.2,1.98,2.03,97.5
23,Jake Bates,DET,GB,-,-,,6.68,1.34,1.65,81.2,2.63,2.75,95.6
24,Chase McLaughlin,TB,KC,-,-,,6.64,1.57,1.85,84.9,1.96,2.07,94.7
25,Will Reichard,MIN,IND,-,-,,6.58,1.43,1.72,83.1,2.29,2.40,95.4
26,Cam Little,JAX,PHI,-,-,,6.20,1.33,1.66,80.1,2.21,2.32,95.3
27,Wil Lutz,DEN,BAL,-,-,,5.93,1.35,1.62,83.3,1.88,1.98,94.9
28,Eddy Pineiro,CAR,NO,-,-,,5.88,1.39,1.62,85.8,1.89,2.01,94.0
29,Joey Slye,NE,TEN,-,-,,1.43,0.38,0.47,80.9,0.47,0.52,90.4
30,Spencer Shrader,IND,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
31,Austin Seibert,NYJ,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
32,Chad Ryland,NE,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Brayden Narveson,TEN,NE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Jude McAtamney,NYG,WAS,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Greg Joseph,GB,DET,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Michael Badgley,DET,GB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
37,Charlie Smyth,NO,CAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
38,Cade York,WAS,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
39,Alex Hale,GB,DET,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
