,,Week 10 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,KC,DEN,-,-,,7.20,18.50,266.19,2.87,0.89,0.64,0.06,0.13,0.06,0.00,0.00
2,NYJ,ARI,-,-,,7.19,21.75,350.10,2.92,0.91,0.61,0.06,0.12,0.06,0.00,0.00
3,DAL,PHI,-,-,,7.15,23.00,352.30,2.87,0.92,0.61,0.06,0.12,0.06,0.00,0.00
4,SF,TB,-,-,,7.06,21.25,308.10,2.89,0.86,0.61,0.06,0.12,0.06,0.00,0.00
5,BAL,CIN,-,-,,6.97,21.50,338.84,2.85,0.85,0.61,0.06,0.12,0.06,0.00,0.00
6,PIT,WAS,-,-,,6.38,21.00,312.67,2.64,0.76,0.53,0.06,0.12,0.06,0.00,0.00
7,HOU,DET,-,-,,6.27,23.75,379.37,2.62,0.79,0.61,0.06,0.06,0.06,0.00,0.00
8,DET,HOU,-,-,,6.17,24.75,387.54,2.57,0.84,0.54,0.06,0.06,0.06,0.00,0.00
9,BUF,IND,-,-,,6.16,22.25,337.40,2.54,0.85,0.54,0.06,0.06,0.06,0.00,0.00
10,MIA,LAR,-,-,,6.11,24.25,382.75,2.55,0.77,0.59,0.06,0.06,0.06,0.00,0.00
11,CHI,NE,-,-,,6.04,18.75,289.62,2.54,0.78,0.54,0.06,0.06,0.06,0.00,0.00
12,PHI,DAL,-,-,,5.97,25.00,362.38,2.54,0.77,0.53,0.06,0.06,0.06,0.00,0.00
13,JAX,MIN,-,-,,5.87,20.75,91.09,2.51,0.72,0.54,0.06,0.06,0.06,0.00,0.00
14,LAR,MIA,-,-,,5.86,23.25,371.73,2.48,0.72,0.54,0.06,0.06,0.06,0.00,0.00
15,LAC,TEN,-,-,,5.81,19.75,311.68,2.45,0.72,0.54,0.06,0.06,0.06,0.00,0.00
16,ATL,NO,-,-,,5.79,21.50,327.59,2.36,0.77,0.53,0.06,0.06,0.06,0.00,0.00
17,NO,ATL,-,-,,5.64,23.00,343.05,2.30,0.75,0.52,0.06,0.06,0.06,0.00,0.00
18,CIN,BAL,-,-,,5.64,24.50,373.27,2.30,0.75,0.52,0.06,0.06,0.06,0.00,0.00
19,MIN,JAX,-,-,,5.62,23.75,337.50,2.44,0.68,0.51,0.06,0.06,0.06,0.00,0.00
20,TB,SF,-,-,,5.61,25.25,397.52,2.29,0.74,0.52,0.06,0.06,0.06,0.00,0.00
21,IND,BUF,-,-,,5.54,24.25,381.16,2.27,0.70,0.52,0.06,0.06,0.06,0.00,0.00
22,NYG,CAR,-,-,,5.49,20.75,305.07,2.37,0.64,0.52,0.06,0.06,0.06,0.00,0.00
23,WAS,PIT,-,-,,5.42,22.50,316.42,2.22,0.68,0.51,0.06,0.06,0.06,0.00,0.00
24,CAR,NYG,-,-,,5.39,21.75,279.40,2.21,0.68,0.51,0.06,0.06,0.06,0.00,0.00
25,ARI,NYJ,-,-,,5.37,24.75,357.15,2.14,0.69,0.52,0.06,0.06,0.06,0.00,0.00
26,NE,CHI,-,-,,5.30,24.25,350.57,2.24,0.66,0.49,0.05,0.05,0.05,0.00,0.00
27,TEN,LAC,-,-,,5.29,23.75,353.39,2.17,0.67,0.50,0.06,0.06,0.06,0.00,0.00
28,DEN,KC,-,-,,5.12,27.50,414.87,2.07,0.65,0.49,0.05,0.05,0.05,0.00,0.00
