,,Week 1 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,SF,NYJ,SF,-4.0,44.0,6.91,20.00,328.33,2.83,0.84,0.60,0.06,0.12,0.06,0.00,0.00
2,CIN,NE,CIN,-9.0,42.5,6.73,16.75,294.41,2.73,0.89,0.62,0.07,0.07,0.07,0.00,0.00
3,SEA,DEN,SEA,-5.0,42.0,6.71,18.50,298.57,2.83,0.86,0.59,0.07,0.07,0.07,0.00,0.00
4,DAL,CLE,CLE,2,43.0,6.64,22.25,314.11,2.67,0.85,0.57,0.06,0.11,0.06,0.00,0.00
5,MIA,JAX,MIA,-3.5,49.0,6.43,22.75,331.71,2.69,0.81,0.62,0.06,0.06,0.06,0.00,0.00
6,NO,CAR,NO,-4.0,40.0,6.41,18.00,293.08,2.59,0.84,0.58,0.07,0.07,0.07,0.00,0.00
7,TB,WAS,TB,-3.0,42.0,6.41,19.50,299.09,2.59,0.84,0.58,0.07,0.07,0.07,0.00,0.00
8,LAC,LV,LAC,-3.5,42.5,6.35,19.50,301.38,2.65,0.78,0.58,0.07,0.07,0.07,0.00,0.00
9,MIN,NYG,-,-,,6.33,21.25,309.74,2.71,0.75,0.57,0.07,0.07,0.07,0.00,0.00
10,CHI,TEN,CHI,-4.5,43.5,6.30,19.50,311.17,2.64,0.82,0.57,0.06,0.06,0.06,0.00,0.00
11,BUF,ARI,BUF,-6.0,48.0,6.27,21.00,344.27,2.59,0.86,0.55,0.06,0.06,0.06,0.00,0.00
12,PHI,GB,PHI,-2.0,48.5,6.20,23.25,351.52,2.64,0.80,0.55,0.06,0.06,0.06,0.00,0.00
13,ATL,PIT,ATL,-3.0,41.5,6.20,19.25,300.71,2.54,0.82,0.57,0.06,0.06,0.06,0.00,0.00
14,CLE,DAL,CLE,-2.0,43.0,6.12,20.75,348.61,2.46,0.72,0.56,0.06,0.11,0.06,0.00,0.00
15,HOU,IND,HOU,-2.0,49.0,6.11,23.50,348.69,2.55,0.77,0.59,0.06,0.06,0.06,0.00,0.00
16,PIT,ATL,ATL,3,41.5,6.02,22.25,342.37,2.48,0.72,0.50,0.06,0.11,0.06,0.00,0.00
17,NYG,MIN,-,-,,6.02,20.25,321.49,2.56,0.68,0.56,0.07,0.07,0.07,0.00,0.00
18,KC,BAL,KC,-2.5,46.5,5.85,22.00,362.31,2.35,0.73,0.52,0.05,0.10,0.05,0.00,0.00
19,CAR,NO,NO,4,40.0,5.82,22.00,331.34,2.40,0.74,0.55,0.06,0.06,0.06,0.00,0.00
20,LV,LAC,LAC,3.5,42.5,5.80,23.00,344.68,2.52,0.70,0.53,0.06,0.06,0.06,0.00,0.00
21,DET,LAR,DET,-3.5,51.0,5.78,23.75,370.76,2.46,0.80,0.51,0.05,0.05,0.05,0.00,0.00
22,BAL,KC,KC,2.5,46.5,5.68,24.50,411.03,2.32,0.69,0.49,0.05,0.10,0.05,0.00,0.00
23,DEN,SEA,SEA,5,42.0,5.63,23.50,325.31,2.27,0.72,0.54,0.06,0.06,0.06,0.00,0.00
24,WAS,TB,TB,3,42.0,5.57,22.50,315.20,2.28,0.71,0.52,0.06,0.06,0.06,0.00,0.00
25,GB,PHI,PHI,2,48.5,5.56,25.25,366.18,2.31,0.73,0.50,0.06,0.06,0.06,0.00,0.00
26,IND,HOU,HOU,2,49.0,5.44,25.50,388.83,2.23,0.69,0.51,0.06,0.06,0.06,0.00,0.00
27,NYJ,SF,SF,4,44.0,5.32,24.00,381.45,2.14,0.67,0.45,0.05,0.09,0.05,0.00,0.00
28,JAX,MIA,MIA,3.5,49.0,5.31,26.25,400.31,2.27,0.65,0.49,0.05,0.05,0.05,0.00,0.00
29,ARI,BUF,BUF,6,48.0,5.30,27.00,403.08,2.11,0.68,0.51,0.06,0.06,0.06,0.00,0.00
30,TEN,CHI,CHI,4.5,43.5,5.27,24.00,362.45,2.16,0.67,0.50,0.06,0.06,0.06,0.00,0.00
31,LAR,DET,DET,3.5,51.0,5.19,27.25,406.16,2.21,0.65,0.49,0.05,0.05,0.05,0.00,0.00
32,NE,CIN,CIN,9,42.5,5.10,25.75,369.21,2.16,0.63,0.47,0.05,0.05,0.05,0.00,0.00
