,,,Week 1 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
55,AJ Barner,SEA,DEN,SEA,-5.0,42.0,1.23,0.81,8.68,0.06,0.00,0.00,0.00
56,Elijah Higgins,ARI,BUF,BUF,6,48.0,1.21,0.83,8.47,0.06,0.00,0.00,0.00
57,Davis Allen,LAR,DET,DET,3.5,51.0,1.18,0.81,8.21,0.06,0.00,0.00,0.00
58,Lucas Krull,DEN,SEA,SEA,5,42.0,1.18,0.82,8.75,0.05,0.00,0.00,0.00
59,Jared Wiley,KC,BAL,KC,-2.5,46.5,1.17,0.76,8.06,0.06,0.00,0.00,0.00
60,Drew Sample,CIN,NE,CIN,-9.0,42.5,1.17,0.77,8.11,0.06,0.00,0.00,0.00
61,Brenton Strange,JAX,MIA,MIA,3.5,49.0,1.16,0.79,8.01,0.06,0.00,0.00,0.00
62,Payne Durham,TB,WAS,TB,-3.0,42.0,1.16,0.79,7.97,0.06,0.00,0.00,0.00
63,Tanner McLachlan,CIN,NE,CIN,-9.0,42.5,1.15,0.77,7.91,0.06,0.00,0.00,0.00
64,Devin Culp,TB,WAS,TB,-3.0,42.0,1.14,0.75,7.78,0.06,0.00,0.00,0.00
65,Robert Tonyan,MIN,NYG,-,-,,1.14,0.82,8.36,0.05,0.00,0.00,0.00
66,Dallin Holker,NO,CAR,NO,-4.0,40.0,1.13,0.74,7.71,0.06,0.00,0.00,0.00
67,Peyton Hendershot,DAL,CLE,CLE,2,43.0,1.13,0.77,7.72,0.06,0.00,0.00,0.00
68,Darnell Washington,PIT,ATL,ATL,3,41.5,1.12,0.80,8.20,0.05,0.00,0.00,0.00
69,Tip Reiman,ARI,BUF,BUF,6,48.0,1.08,0.71,7.17,0.06,0.00,0.00,0.00
70,Harrison Bryant,LV,LAC,LAC,3.5,42.5,1.04,0.67,6.77,0.06,0.00,0.00,0.00
71,Jody Fortson,MIA,JAX,MIA,-3.5,49.0,1.04,0.59,6.21,0.07,0.00,0.00,0.00
72,Irv Smith,KC,BAL,KC,-2.5,46.5,1.03,0.64,6.73,0.06,0.00,0.00,0.00
73,Daniel Bellinger,NYG,MIN,-,-,,1.02,0.70,7.20,0.05,0.00,0.00,0.00
74,Brock Wright,DET,LAR,DET,-3.5,51.0,1.02,0.67,6.62,0.06,0.00,0.00,0.00
75,Mo Alie-Cox,IND,HOU,HOU,2,49.0,0.98,0.58,6.19,0.06,0.00,0.00,0.00
76,Will Dissly,LAC,LV,LAC,-3.5,42.5,0.95,0.57,5.85,0.06,0.00,0.00,0.00
77,Jack Stoll,NYG,MIN,-,-,,0.93,0.54,5.69,0.06,0.00,0.00,0.00
78,Josh Oliver,MIN,NYG,-,-,,0.92,0.59,6.24,0.05,0.00,0.00,0.00
79,Stone Smartt,LAC,LV,LAC,-3.5,42.5,0.87,0.47,5.10,0.06,0.00,0.00,0.00
80,Quintin Morris,BUF,ARI,BUF,-6.0,48.0,0.86,0.50,5.02,0.06,0.00,0.00,0.00
81,Luke Schoonmaker,DAL,CLE,CLE,2,43.0,0.85,0.45,4.90,0.06,0.00,0.00,0.00
82,Austin Hooper,NE,CIN,CIN,9,42.5,0.85,0.55,5.48,0.05,0.00,0.00,0.00
83,Jordan Akins,CLE,DAL,CLE,-2.0,43.0,0.82,0.46,4.63,0.06,0.00,0.00,0.00
84,Pharaoh Brown,SEA,DEN,SEA,-5.0,42.0,0.80,0.43,4.44,0.06,0.00,0.00,0.00
85,Cole Turner,WAS,TB,TB,3,42.0,0.78,0.44,4.78,0.05,0.00,0.00,0.00
86,Tyler Higbee,LAR,DET,DET,3.5,51.0,0.55,0.36,3.72,0.03,0.00,0.00,0.00
87,Cameron Latu,SF,NYJ,SF,-4.0,44.0,0.41,0.40,3.50,0.01,0.00,0.00,0.00
88,Ian Thomas,CAR,NO,NO,4,40.0,0.34,0.31,3.36,0.00,0.00,0.00,0.00
89,Connor Heyward,PIT,ATL,ATL,3,41.5,0.34,0.31,3.44,0.00,0.00,0.00,0.00
90,Charlie Kolar,BAL,KC,KC,2.5,46.5,0.29,0.28,2.88,0.00,0.00,0.00,0.00
91,Josiah Deguara,JAX,MIA,MIA,3.5,49.0,0.29,0.29,2.91,0.00,0.00,0.00,0.00
92,John Bates,WAS,TB,TB,3,42.0,0.28,0.27,2.75,0.00,0.00,0.00,0.00
93,Charlie Woerner,ATL,PIT,ATL,-3.0,41.5,0.28,0.40,2.80,0.00,0.00,0.00,0.00
94,Eric Saubert,SF,NYJ,SF,-4.0,44.0,0.17,0.20,1.70,0.00,0.00,0.00,0.00
95,Erick All,CIN,NE,CIN,-9.0,42.5,0.13,0.00,1.30,0.00,0.00,0.00,0.00
96,Mitchell Wilcox,NE,CIN,CIN,9,42.5,0.11,0.20,1.10,0.00,0.00,0.00,0.00
97,Nick Muse,MIN,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98,La'Michael Pettway,NE,CIN,CIN,9,42.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99,Colson Yankoff,WAS,TB,TB,3,42.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100,James Mitchell,DET,LAR,DET,-3.5,51.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,Steven Stilianos,TEN,CHI,CHI,4.5,43.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102,Eric Tomlinson,IND,HOU,HOU,2,49.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
