,,,Week 12 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Patrick Mahomes,KC,CAR,-,-,,24.99,25.40,35.40,71.8,283.68,2.13,0.77,4.10,22.74,0.13
2,Jalen Hurts,PHI,LAR,-,-,,23.27,19.17,29.00,66.1,214.46,1.36,0.65,8.90,38.59,0.65
3,Lamar Jackson,BAL,LAC,-,-,,23.22,18.58,27.30,68.1,214.14,1.52,0.61,8.90,51.25,0.32
4,C.J. Stroud,HOU,TEN,-,-,,23.08,23.38,34.10,68.6,273.02,2.06,0.75,2.70,12.15,0.12
5,Anthony Richardson,IND,DET,-,-,,21.49,17.27,28.10,61.5,196.01,1.11,0.70,10.00,47.06,0.54
6,Dak Prescott,DAL,WAS,-,-,,21.33,23.03,33.10,69.6,249.42,1.86,0.68,3.20,13.82,0.12
7,Brock Purdy,SF,GB,-,-,,20.16,19.96,28.60,69.8,238.93,1.79,0.66,2.30,9.95,0.12
8,Tua Tagovailoa,MIA,NE,-,-,,20.00,22.00,30.80,71.4,255.01,1.80,0.75,1.90,4.44,0.06
9,Jared Goff,DET,IND,-,-,,19.96,22.90,33.60,68.2,256.90,1.77,0.67,1.50,3.42,0.06
10,Kyler Murray,ARI,SEA,-,-,,19.63,19.51,30.90,63.1,213.69,1.24,0.68,5.50,30.46,0.27
11,Caleb Williams,CHI,MIN,-,-,,19.62,20.89,32.10,65.1,232.47,1.50,0.84,4.00,17.55,0.18
12,Jordan Love,GB,SF,-,-,,19.51,20.44,31.90,64.1,228.67,1.63,0.70,2.60,12.37,0.17
13,Justin Herbert,LAC,BAL,-,-,,19.33,21.33,32.70,65.2,230.84,1.53,0.65,3.20,12.38,0.18
14,Matthew Stafford,LAR,PHI,-,-,,19.05,21.78,33.10,65.8,244.39,1.73,0.84,0.90,3.89,0.06
15,Jayden Daniels,WAS,DAL,-,-,,18.51,17.34,29.10,59.6,193.75,1.14,0.80,5.80,30.23,0.34
16,Geno Smith,SEA,ARI,-,-,,18.24,20.92,31.30,66.8,228.81,1.46,0.67,2.10,9.09,0.12
17,Deshaun Watson,CLE,PIT,-,-,,18.12,18.22,28.90,63.0,200.55,1.29,0.76,4.50,23.11,0.23
18,Baker Mayfield,TB,NYG,-,-,,17.58,20.16,31.40,64.2,219.07,1.39,0.70,3.20,11.04,0.11
19,Will Levis,TEN,HOU,-,-,,16.97,19.04,32.40,58.8,215.20,1.35,0.79,2.80,9.42,0.11
20,Gardner Minshew,LV,DEN,-,-,,16.07,20.89,32.50,64.3,217.78,1.18,0.79,1.80,7.08,0.09
21,Drake Maye,NE,MIA,-,-,,15.61,17.20,29.70,57.9,186.48,1.11,0.72,3.60,15.49,0.17
22,Russell Wilson,PIT,CLE,-,-,,15.49,16.73,27.30,61.3,180.89,1.12,0.62,4.30,18.69,0.12
23,Daniel Jones,NYG,TB,-,-,,14.96,15.77,24.90,63.3,168.28,0.92,0.52,4.90,23.62,0.17
24,Bryce Young,CAR,KC,-,-,,14.91,17.51,30.90,56.7,191.17,1.05,0.77,2.90,12.61,0.11
25,Bo Nix,DEN,LV,-,-,,13.01,14.45,23.80,60.7,149.76,0.87,0.58,4.20,17.77,0.14
26,Aidan O'Connell,LV,DEN,-,-,,6.04,8.34,13.40,62.2,88.88,0.49,0.39,0.10,0.21,0.00
27,Jimmy Garoppolo,LAR,PHI,-,-,,1.29,1.38,2.10,65.7,14.96,0.14,0.07,0.20,0.47,0.00
28,Dorian Thompson-Robinson,CLE,PIT,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
29,Devin Leary,BAL,LAC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
30,Nate Sudfeld,DET,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
31,Sam Hartman,WAS,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
32,Sam Howell,SEA,ARI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
33,Malik Willis,TEN,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
34,John Wolford,TB,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
35,Luis Perez,LAC,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
36,Kenny Pickett,PHI,LAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
37,Joe Milton,NE,MIA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
38,Nick Mullens,MIN,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
39,Trace McSorley,WAS,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
40,J.J. McCarthy,MIN,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
41,Jake Luton,CAR,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
42,Clayton Tune,ARI,SEA,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
43,Jack Plummer,CAR,KC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
44,Carson Wentz,KC,CAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
45,Austin Reed,CHI,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
46,Dresser Winn,LAR,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
47,Mason Rudolph,TEN,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
48,Josh Johnson,BAL,LAC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
49,Brett Rypien,CHI,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
50,Hendon Hooker,DET,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
51,Easton Stick,LAC,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
52,Tyler Huntley,CLE,PIT,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
53,Case Keenum,HOU,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
54,Emory Jones,BAL,LAC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
55,Brandon Allen,SF,GB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
56,Trey Lance,DAL,WAS,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
57,Kyle Allen,PIT,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
