,,,Week 3 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Tyreek Hill,MIA,SEA,-,-,,13.10,6.89,95.78,0.55,0.31,2.21,0.00
2,CeeDee Lamb,DAL,BAL,-,-,,12.60,7.00,88.54,0.49,0.73,4.50,0.06
3,Ja'Marr Chase,CIN,WAS,-,-,,11.84,6.67,86.79,0.51,0.19,1.02,0.00
4,A.J. Brown,PHI,NO,-,-,,11.15,5.43,81.77,0.49,0.06,0.37,0.00
5,Amon-Ra St. Brown,DET,ARI,-,-,,11.01,7.04,81.44,0.44,0.38,2.28,0.00
6,Justin Jefferson,MIN,HOU,-,-,,10.89,6.15,83.57,0.41,0.12,0.70,0.00
7,Garrett Wilson,NYJ,NE,-,-,,10.79,6.04,76.63,0.49,0.31,1.89,0.00
8,Puka Nacua,LAR,SF,-,-,,10.34,5.61,75.05,0.43,0.49,2.50,0.00
9,Deebo Samuel,SF,LAR,-,-,,10.18,3.90,54.79,0.36,2.46,14.58,0.18
10,Nico Collins,HOU,MIN,-,-,,9.70,4.79,70.62,0.43,0.12,0.61,0.00
11,Brandon Aiyuk,SF,LAR,-,-,,9.52,4.71,69.05,0.43,0.06,0.31,0.00
12,Tee Higgins,CIN,WAS,-,-,,9.50,4.72,67.09,0.46,0.07,0.33,0.00
13,Mike Evans,TB,DEN,-,-,,9.38,4.32,65.26,0.47,0.06,0.29,0.00
14,Marvin Harrison,ARI,DET,-,-,,9.37,4.83,68.04,0.42,0.06,0.42,0.00
15,Amari Cooper,CLE,NYG,-,-,,9.32,4.55,67.11,0.43,0.06,0.31,0.00
16,DK Metcalf,SEA,MIA,-,-,,9.15,4.38,63.03,0.47,0.06,0.29,0.00
17,Jaylen Waddle,MIA,SEA,-,-,,9.13,5.03,68.55,0.36,0.18,1.15,0.00
18,Drake London,ATL,KC,-,-,,9.06,5.08,65.97,0.40,0.12,0.63,0.00
19,Chris Olave,NO,PHI,-,-,,8.90,5.04,68.31,0.34,0.06,0.29,0.00
20,Cooper Kupp,LAR,SF,-,-,,8.88,5.26,62.67,0.41,0.23,1.52,0.00
21,Davante Adams,LV,CAR,-,-,,8.72,5.47,65.32,0.36,0.06,0.30,0.00
22,DJ Moore,CHI,IND,-,-,,8.61,4.49,60.76,0.40,0.23,1.38,0.00
23,Stefon Diggs,HOU,MIN,-,-,,8.59,4.99,60.35,0.42,0.06,0.30,0.00
24,DeVonta Smith,PHI,NO,-,-,,8.49,5.14,62.98,0.36,0.06,0.36,0.00
25,Tank Dell,HOU,MIN,-,-,,8.45,4.69,59.52,0.35,0.70,3.99,0.00
26,George Pickens,PIT,LAC,-,-,,8.39,4.13,62.29,0.35,0.12,0.58,0.00
27,Jordan Addison,MIN,HOU,-,-,,8.19,4.23,58.55,0.37,0.19,1.12,0.00
28,Christian Kirk,JAX,BUF,-,-,,8.15,4.70,59.88,0.35,0.12,0.64,0.00
29,Michael Pittman,IND,CHI,-,-,,8.06,5.51,61.70,0.31,0.06,0.31,0.00
30,Zay Flowers,BAL,DAL,-,-,,8.00,4.81,55.35,0.36,0.48,3.03,0.00
31,Jayden Reed,GB,TEN,-,-,,7.94,4.27,53.24,0.30,0.78,4.57,0.06
32,Rome Odunze,CHI,IND,-,-,,7.80,4.18,56.57,0.35,0.06,0.41,0.00
33,Chris Godwin,TB,DEN,-,-,,7.78,5.17,58.24,0.30,0.24,1.55,0.00
34,Malik Nabers,NYG,CLE,-,-,,7.66,4.12,55.94,0.33,0.11,0.81,0.00
35,Keenan Allen,CHI,IND,-,-,,7.62,4.91,54.51,0.35,0.12,0.64,0.00
36,Calvin Ridley,TEN,GB,-,-,,7.56,3.99,53.98,0.33,0.33,1.86,0.00
37,Terry McLaurin,WAS,CIN,-,-,,7.39,4.29,56.77,0.28,0.06,0.33,0.00
38,Rashee Rice,KC,ATL,-,-,,7.31,4.83,52.14,0.34,0.11,0.51,0.00
39,Xavier Worthy,KC,ATL,-,-,,7.30,3.78,50.69,0.35,0.18,1.30,0.00
40,Marquise Brown,KC,ATL,-,-,,7.01,3.63,50.61,0.31,0.18,0.86,0.00
41,Christian Watson,GB,TEN,-,-,,6.99,3.40,46.71,0.36,0.30,1.61,0.00
42,DeAndre Hopkins,TEN,GB,-,-,,6.63,3.94,47.19,0.31,0.12,0.49,0.00
43,Mike Williams,NYJ,NE,-,-,,6.45,3.31,45.55,0.31,0.06,0.31,0.00
44,Tyler Lockett,SEA,MIA,-,-,,6.42,3.82,45.87,0.30,0.06,0.30,0.00
45,Jameson Williams,DET,ARI,-,-,,6.41,3.20,45.36,0.28,0.34,1.96,0.00
46,Romeo Doubs,GB,TEN,-,-,,6.35,3.62,45.17,0.30,0.06,0.30,0.00
47,Keon Coleman,BUF,JAX,-,-,,6.34,3.42,45.05,0.30,0.06,0.30,0.00
48,Jaxon Smith-Njigba,SEA,MIA,-,-,,6.27,4.09,44.10,0.30,0.12,0.61,0.00
49,Khalil Shakir,BUF,JAX,-,-,,6.26,3.72,44.10,0.30,0.06,0.49,0.00
50,Brian Thomas,JAX,BUF,-,-,,6.23,3.47,44.63,0.28,0.11,0.85,0.00
51,Dontayvion Wicks,GB,TEN,-,-,,6.21,3.12,40.77,0.34,0.20,0.95,0.00
52,Ladd McConkey,LAC,PIT,-,-,,6.15,3.42,41.67,0.32,0.05,0.59,0.00
53,Jerry Jeudy,CLE,NYG,-,-,,6.04,3.36,42.89,0.28,0.11,0.73,0.00
54,Curtis Samuel,BUF,JAX,-,-,,6.01,3.52,39.15,0.22,0.70,4.76,0.05
55,Brandin Cooks,DAL,BAL,-,-,,5.98,3.27,40.75,0.30,0.18,1.03,0.00
56,Gabe Davis,JAX,BUF,-,-,,5.93,3.10,42.83,0.27,0.05,0.27,0.00
57,Courtland Sutton,DEN,TB,-,-,,5.91,3.22,43.27,0.26,0.05,0.26,0.00
58,Ricky Pearsall,SF,LAR,-,-,,5.74,3.13,37.71,0.31,0.18,1.04,0.00
59,Jakobi Meyers,LV,CAR,-,-,,5.68,3.61,40.76,0.24,0.24,1.26,0.00
60,Josh Downs,IND,CHI,-,-,,5.60,3.61,40.29,0.24,0.18,1.26,0.00
61,Malachi Corley,NYJ,NE,-,-,,5.59,3.47,36.62,0.28,0.42,2.50,0.00
62,Xavier Legette,CAR,LV,-,-,,5.57,3.07,39.42,0.25,0.18,1.23,0.00
63,Jahan Dotson,PHI,NO,-,-,,5.51,3.04,39.40,0.25,0.08,0.66,0.00
64,Rashid Shaheed,NO,PHI,-,-,,5.50,2.89,38.89,0.22,0.44,2.89,0.00
65,Joshua Palmer,LAC,PIT,-,-,,5.48,2.91,36.42,0.30,0.05,0.35,0.00
66,Roman Wilson,PIT,LAC,-,-,,5.45,2.90,38.99,0.23,0.23,1.68,0.00
67,Adonai Mitchell,IND,CHI,-,-,,5.45,3.03,39.59,0.24,0.06,0.49,0.00
68,Troy Franklin,DEN,TB,-,-,,5.28,2.95,36.23,0.27,0.09,0.36,0.00
69,Michael Wilson,ARI,DET,-,-,,5.26,2.83,37.88,0.24,0.06,0.30,0.00
70,Jermaine Burton,CIN,WAS,-,-,,5.17,2.81,35.49,0.26,0.06,0.64,0.00
71,Diontae Johnson,CAR,LV,-,-,,5.12,3.74,39.18,0.19,0.10,0.62,0.00
72,Darnell Mooney,ATL,KC,-,-,,5.03,2.69,36.32,0.22,0.11,0.81,0.00
73,Marvin Mims,DEN,TB,-,-,,4.89,2.52,34.73,0.21,0.21,1.61,0.00
74,Quentin Johnston,LAC,PIT,-,-,,4.79,2.74,34.36,0.22,0.06,0.34,0.00
75,Ja'Lynn Polk,NE,NYJ,-,-,,4.76,2.89,34.28,0.21,0.05,0.75,0.00
76,Wan'Dale Robinson,NYG,CLE,-,-,,4.72,3.10,31.70,0.21,0.53,2.94,0.00
77,DeMario Douglas,NE,NYJ,-,-,,4.69,3.06,33.71,0.19,0.29,1.80,0.00
78,Rashod Bateman,BAL,DAL,-,-,,4.64,2.58,32.95,0.22,0.06,0.28,0.00
79,Devontez Walker,BAL,DAL,-,-,,4.60,2.52,31.05,0.24,0.08,0.55,0.00
80,Jalen McMillan,TB,DEN,-,-,,4.50,2.94,31.18,0.21,0.16,1.18,0.00
81,Adam Thielen,CAR,LV,-,-,,4.48,3.30,33.03,0.19,0.05,0.34,0.00
82,Greg Dortch,ARI,DET,-,-,,4.22,3.12,30.60,0.17,0.28,1.42,0.00
83,Darius Slayton,NYG,CLE,-,-,,3.98,2.07,29.93,0.16,0.05,0.27,0.00
84,Tyler Boyd,TEN,GB,-,-,,3.95,2.69,28.20,0.18,0.12,0.47,0.00
85,Odell Beckham,MIA,SEA,-,-,,3.72,2.08,25.94,0.18,0.06,0.43,0.00
86,Zay Jones,ARI,DET,-,-,,3.69,2.22,26.24,0.17,0.12,0.41,0.00
87,Elijah Moore,CLE,NYG,-,-,,3.68,2.30,24.94,0.18,0.24,1.09,0.00
88,Kendrick Bourne,NE,NYJ,-,-,,3.61,2.05,25.86,0.16,0.10,0.63,0.00
89,Demarcus Robinson,LAR,SF,-,-,,3.58,1.88,23.40,0.20,0.04,0.44,0.00
90,K.J. Osborn,NE,NYJ,-,-,,3.24,1.73,22.44,0.16,0.05,0.32,0.00
91,Javon Baker,NE,NYJ,-,-,,3.20,1.86,22.57,0.14,0.14,1.02,0.00
92,Marquez Valdes-Scantling,BUF,JAX,-,-,,3.18,1.38,20.73,0.18,0.09,0.28,0.00
93,Jalen Tolbert,DAL,BAL,-,-,,3.05,1.87,21.72,0.14,0.05,0.33,0.00
94,DJ Chark,LAC,PIT,-,-,,3.05,1.70,22.40,0.13,0.04,0.31,0.00
95,Tre Tucker,LV,CAR,-,-,,2.98,1.76,18.73,0.15,0.34,2.05,0.00
96,Tyler Scott,CHI,IND,-,-,,2.94,1.61,18.23,0.15,0.44,2.12,0.00
97,A.T. Perry,NO,PHI,-,-,,2.90,1.48,20.94,0.13,0.07,0.27,0.00
98,Jalin Hyatt,NYG,CLE,-,-,,2.86,1.42,21.20,0.12,0.06,0.19,0.00
99,Josh Reynolds,DEN,TB,-,-,,2.79,1.66,21.05,0.11,0.06,0.28,0.00
100,Jake Bobo,SEA,MIA,-,-,,2.78,1.50,18.49,0.15,0.08,0.30,0.00
101,Noah Brown,HOU,MIN,-,-,,2.73,1.31,18.12,0.15,0.07,0.22,0.00
102,Treylon Burks,TEN,GB,-,-,,2.71,1.48,19.26,0.11,0.26,1.26,0.00
103,Alec Pierce,IND,CHI,-,-,,2.70,1.32,20.11,0.11,0.05,0.26,0.00
104,Malik Washington,MIA,SEA,-,-,,2.63,1.42,18.16,0.11,0.22,1.53,0.00
105,KJ Hamler,BUF,JAX,-,-,,2.60,1.22,16.95,0.14,0.14,0.68,0.00
106,Van Jefferson,PIT,LAC,-,-,,2.59,1.40,17.95,0.12,0.12,0.70,0.00
107,Trey Palmer,TB,DEN,-,-,,2.58,1.47,18.11,0.11,0.21,1.05,0.00
108,Cedric Tillman,CLE,NYG,-,-,,2.57,1.36,18.18,0.12,0.06,0.31,0.00
109,Jauan Jennings,SF,LAR,-,-,,2.51,1.44,17.53,0.12,0.04,0.39,0.00
110,Andrei Iosivas,CIN,WAS,-,-,,2.48,1.38,17.22,0.12,0.04,0.39,0.00
111,Jonathan Mingo,CAR,LV,-,-,,2.44,1.44,17.29,0.11,0.04,0.46,0.00
112,Kalif Raymond,DET,ARI,-,-,,2.43,1.28,16.03,0.10,0.36,2.25,0.00
113,Cedrick Wilson,NO,PHI,-,-,,2.37,1.28,16.17,0.12,0.06,0.35,0.00
114,Parker Washington,JAX,BUF,-,-,,2.25,1.39,14.88,0.12,0.12,0.46,0.00
115,Calvin Austin,PIT,LAC,-,-,,2.21,1.33,14.22,0.09,0.40,2.44,0.00
116,Dyami Brown,WAS,CIN,-,-,,2.11,1.18,14.17,0.11,0.11,0.32,0.00
117,Chris Moore,ARI,DET,-,-,,2.09,1.10,13.86,0.10,0.20,1.00,0.00
118,Allen Lazard,NYJ,NE,-,-,,2.04,0.99,13.53,0.11,0.11,0.22,0.00
119,Mecole Hardman,KC,ATL,-,-,,2.04,0.97,12.69,0.09,0.35,2.29,0.00
120,Brenden Rice,LAC,PIT,-,-,,2.03,1.11,13.93,0.10,0.10,0.40,0.00
121,Tutu Atwell,LAR,SF,-,-,,1.91,1.14,14.50,0.06,0.18,1.02,0.00
122,Justin Watson,KC,ATL,-,-,,1.89,1.03,13.53,0.09,0.00,0.00,0.00
123,Braxton Berrios,MIA,SEA,-,-,,1.89,1.29,12.78,0.09,0.09,0.69,0.00
124,Robert Woods,HOU,MIN,-,-,,1.83,1.22,12.51,0.09,0.09,0.38,0.00
125,Bo Melton,GB,TEN,-,-,,1.81,0.90,11.83,0.10,0.03,0.31,0.00
126,David Bell,CLE,NYG,-,-,,1.77,1.13,11.98,0.09,0.09,0.35,0.00
127,Kadarius Toney,KC,ATL,-,-,,1.74,0.87,10.74,0.06,0.50,3.06,0.00
128,Tim Patrick,DEN,TB,-,-,,1.70,0.98,12.00,0.08,0.05,0.23,0.00
129,D.J. Montgomery,IND,CHI,-,-,,1.58,0.99,11.87,0.06,0.06,0.37,0.00
130,Brandon Johnson,DEN,TB,-,-,,1.57,0.83,10.28,0.08,0.08,0.58,0.00
131,Russell Gage,BAL,DAL,-,-,,1.57,0.88,10.01,0.09,0.09,0.26,0.00
132,Xavier Hutchinson,HOU,MIN,-,-,,1.55,0.86,10.75,0.06,0.18,1.17,0.00
133,Donovan Peoples-Jones,DET,ARI,-,-,,1.53,0.83,11.49,0.06,0.06,0.25,0.00
134,Quez Watkins,PIT,LAC,-,-,,1.52,0.81,11.33,0.06,0.06,0.29,0.00
135,Nelson Agholor,BAL,DAL,-,-,,1.48,0.78,9.73,0.08,0.08,0.24,0.00
136,Rakim Jarrett,TB,DEN,-,-,,1.46,0.83,10.43,0.06,0.12,0.60,0.00
137,KaVontae Turpin,DAL,BAL,-,-,,1.45,0.67,7.52,0.06,0.55,3.40,0.00
138,Johnny Wilson,PHI,NO,-,-,,1.43,0.87,10.39,0.06,0.06,0.31,0.00
139,Charlie Jones,CIN,WAS,-,-,,1.43,0.80,10.34,0.06,0.06,0.31,0.00
140,Xavier Gipson,NYJ,NE,-,-,,1.41,0.86,9.24,0.06,0.24,1.28,0.00
141,Nick Westbrook-Ikhine,TEN,GB,-,-,,1.40,0.73,10.17,0.06,0.06,0.23,0.00
142,Isaiah Hodgins,NYG,CLE,-,-,,1.40,0.78,10.21,0.06,0.06,0.22,0.00
143,John Metchie,HOU,MIN,-,-,,1.40,0.86,9.95,0.06,0.06,0.49,0.00
