,,,Week 9 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Breece Hall,NYJ,HOU,-,-,,13.68,15.70,72.74,0.53,3.37,25.02,0.12
2,Derrick Henry,BAL,DEN,-,-,,12.53,14.40,71.97,0.68,1.23,8.95,0.06
3,Jonathan Taylor,IND,MIN,-,-,,12.51,15.60,71.78,0.59,1.87,14.28,0.06
4,Saquon Barkley,PHI,JAX,-,-,,12.47,15.40,71.27,0.43,2.68,19.84,0.13
5,Bijan Robinson,ATL,DAL,-,-,,12.44,14.90,67.78,0.49,2.84,21.18,0.10
6,Isiah Pacheco,KC,TB,-,-,,11.77,12.90,62.75,0.48,2.56,18.92,0.12
7,Josh Jacobs,GB,DET,-,-,,11.60,14.10,65.64,0.51,2.22,16.20,0.06
8,Kyren Williams,LAR,SEA,-,-,,11.47,13.70,62.19,0.52,2.31,17.12,0.07
9,Jahmyr Gibbs,DET,GB,-,-,,11.38,11.70,56.41,0.44,3.19,23.74,0.12
10,James Cook,BUF,MIA,-,-,,10.40,11.90,57.21,0.32,2.56,19.80,0.13
11,Travis Etienne,JAX,PHI,-,-,,10.37,14.20,57.82,0.39,2.52,18.89,0.06
12,De'Von Achane,MIA,BUF,-,-,,10.00,9.90,52.27,0.39,2.36,18.28,0.10
13,Rachaad White,TB,KC,-,-,,9.96,13.20,51.59,0.35,2.76,20.45,0.11
14,Aaron Jones,MIN,IND,-,-,,9.78,11.90,52.79,0.36,2.18,16.19,0.12
15,David Montgomery,DET,GB,-,-,,9.72,11.90,53.67,0.53,1.20,8.72,0.05
16,Kenneth Walker,SEA,LAR,-,-,,9.68,13.60,56.86,0.41,1.70,12.38,0.05
17,James Conner,ARI,CHI,-,-,,9.45,12.00,51.88,0.41,1.93,14.40,0.06
18,Nick Chubb,CLE,LAC,-,-,,9.18,11.80,53.70,0.46,0.89,6.94,0.06
19,Devin Singletary,NYG,WAS,-,-,,9.14,13.50,54.94,0.30,2.09,14.89,0.06
20,D'Andre Swift,CHI,ARI,-,-,,8.93,11.20,47.97,0.36,2.20,16.09,0.06
21,Joe Mixon,HOU,NYJ,-,-,,8.89,12.70,51.03,0.33,2.07,15.10,0.05
22,Rhamondre Stevenson,NE,TEN,-,-,,8.65,12.60,49.88,0.33,1.79,13.18,0.06
23,Zamir White,LV,CIN,-,-,,8.49,12.80,49.66,0.34,1.56,11.27,0.06
24,Ezekiel Elliott,DAL,ATL,-,-,,8.36,10.60,44.47,0.38,1.75,12.70,0.06
25,Zack Moss,CIN,LV,-,-,,8.30,10.20,44.60,0.35,1.90,13.76,0.06
26,Tony Pollard,TEN,NE,-,-,,8.30,11.80,49.99,0.28,1.81,13.21,0.05
27,Raheem Mostert,MIA,BUF,-,-,,8.30,9.80,45.23,0.39,1.51,10.76,0.06
28,Alvin Kamara,NO,CAR,-,-,,8.30,10.10,40.08,0.22,3.13,23.13,0.11
29,Gus Edwards,LAC,CLE,-,-,,8.16,11.60,47.51,0.39,0.96,7.06,0.06
30,Jonathon Brooks,CAR,NO,-,-,,7.96,10.60,43.47,0.30,1.94,14.48,0.06
31,Javonte Williams,DEN,BAL,-,-,,7.70,12.30,46.37,0.26,1.67,12.05,0.05
32,Tyjae Spears,TEN,NE,-,-,,7.50,8.30,35.16,0.21,2.65,19.41,0.13
33,Chase Brown,CIN,LV,-,-,,7.44,8.90,39.22,0.24,2.25,17.13,0.06
34,Brian Robinson,WAS,NYG,-,-,,7.00,10.40,39.92,0.30,1.23,9.06,0.05
35,Austin Ekeler,WAS,NYG,-,-,,6.98,7.70,31.06,0.23,2.41,18.30,0.11
36,Zach Charbonnet,SEA,LAR,-,-,,6.64,8.10,33.87,0.25,1.88,13.90,0.06
37,Jerome Ford,CLE,LAC,-,-,,6.16,6.80,28.86,0.24,2.04,14.75,0.06
38,Chuba Hubbard,CAR,NO,-,-,,5.88,8.50,33.04,0.22,1.25,8.92,0.06
39,Trey Benson,ARI,CHI,-,-,,5.80,7.60,31.86,0.23,1.21,8.77,0.06
40,Blake Corum,LAR,SEA,-,-,,5.61,6.50,29.36,0.24,1.18,8.73,0.06
41,Ty Chandler,MIN,IND,-,-,,5.18,6.70,27.95,0.17,1.33,10.03,0.06
42,Tyler Allgeier,ATL,DAL,-,-,,5.12,7.30,31.27,0.16,1.04,7.35,0.05
43,Khalil Herbert,CHI,ARI,-,-,,4.71,6.30,27.37,0.19,0.63,4.76,0.06
44,Kendre Miller,NO,CAR,-,-,,4.67,6.00,24.10,0.19,1.04,7.55,0.06
45,Jaleel McLaughlin,DEN,BAL,-,-,,4.62,6.50,25.33,0.16,1.14,8.26,0.05
46,Rico Dowdle,DAL,ATL,-,-,,4.61,5.90,24.96,0.16,1.17,8.53,0.05
47,Ray Davis,BUF,MIA,-,-,,4.34,5.00,23.23,0.16,0.89,6.92,0.06
48,Antonio Gibson,NE,TEN,-,-,,4.32,4.90,18.67,0.11,1.93,14.32,0.06
49,MarShawn Lloyd,GB,DET,-,-,,4.08,4.80,21.51,0.13,0.96,7.30,0.07
50,Kimani Vidal,LAC,CLE,-,-,,4.08,5.50,22.12,0.19,0.98,7.26,0.00
51,Dameon Pierce,HOU,NYJ,-,-,,3.89,6.20,24.72,0.17,0.54,4.00,0.00
52,Clyde Edwards-Helaire,KC,TB,-,-,,3.80,3.90,17.56,0.13,1.23,9.03,0.06
53,Roschon Johnson,CHI,ARI,-,-,,3.72,3.60,15.17,0.15,1.16,8.79,0.07
54,Alexander Mattison,LV,CIN,-,-,,3.62,5.20,19.61,0.12,0.85,5.74,0.06
55,AJ Dillon,GB,DET,-,-,,3.52,4.60,19.76,0.18,0.64,4.67,0.00
56,Will Shipley,PHI,JAX,-,-,,3.47,4.10,18.40,0.12,0.75,5.51,0.06
57,Braelon Allen,NYJ,HOU,-,-,,3.25,4.10,17.63,0.15,0.46,3.45,0.04
58,Bucky Irving,TB,KC,-,-,,3.22,4.20,16.35,0.10,0.93,6.80,0.05
59,Deuce Vaughn,DAL,ATL,-,-,,3.20,3.20,13.91,0.09,0.97,7.24,0.09
60,Jaylen Wright,MIA,BUF,-,-,,3.00,3.50,15.90,0.11,0.65,4.52,0.05
61,Jamaal Williams,NO,CAR,-,-,,2.98,4.70,18.41,0.13,0.51,3.55,0.00
62,Ty Johnson,BUF,MIA,-,-,,2.84,2.60,11.77,0.07,1.06,7.66,0.08
63,Chris Rodriguez,WAS,NYG,-,-,,2.82,4.20,16.55,0.14,0.45,3.25,0.00
64,J.K. Dobbins,LAC,CLE,-,-,,2.81,3.40,13.47,0.12,0.66,5.01,0.04
65,Tyrone Tracy,NYG,WAS,-,-,,2.80,3.10,12.65,0.08,0.93,6.95,0.06
66,Emari Demercado,ARI,CHI,-,-,,2.58,2.40,10.13,0.07,1.08,7.89,0.06
67,D'Onta Foreman,CLE,LAC,-,-,,2.54,3.70,15.66,0.10,0.50,3.73,0.00
68,Kenneth Gainwell,PHI,JAX,-,-,,2.48,2.60,11.34,0.06,0.85,6.29,0.06
69,Tank Bigsby,JAX,PHI,-,-,,2.47,3.60,14.87,0.10,0.53,3.81,0.00
70,Justice Hill,BAL,DEN,-,-,,2.44,1.80,8.27,0.06,1.22,8.93,0.06
71,Eric Gray,NYG,WAS,-,-,,2.38,3.30,13.48,0.09,0.68,4.94,0.00
72,Kevin Harris,NE,TEN,-,-,,2.36,3.50,13.69,0.11,0.45,3.27,0.00
73,Evan Hull,IND,MIN,-,-,,2.35,2.50,10.60,0.06,0.76,5.65,0.06
74,Rasheen Ali,BAL,DEN,-,-,,2.35,3.00,13.99,0.07,0.72,5.30,0.00
75,Keaton Mitchell,BAL,DEN,-,-,,2.17,2.70,13.17,0.06,0.66,4.94,0.00
76,Audric Estime,DEN,BAL,-,-,,2.06,3.10,11.67,0.10,0.44,2.92,0.00
77,Dylan Laube,LV,CIN,-,-,,1.93,2.50,9.64,0.08,0.66,4.87,0.00
78,Jase McClellan,ATL,DAL,-,-,,1.89,1.70,7.01,0.06,0.62,4.68,0.06
79,Frank Gore,BUF,MIA,-,-,,1.87,2.40,11.00,0.08,0.40,2.89,0.00
80,Trey Sermon,IND,MIN,-,-,,1.79,2.60,11.02,0.07,0.36,2.68,0.00
81,Chase Edmonds,TB,KC,-,-,,1.73,1.80,6.91,0.06,0.91,6.79,0.00
82,Miles Sanders,CAR,NO,-,-,,1.72,2.80,10.95,0.06,0.36,2.60,0.00
83,DeWayne McBride,MIN,IND,-,-,,1.55,2.10,8.90,0.07,0.33,2.44,0.00
84,Samaje Perine,DEN,BAL,-,-,,1.55,1.50,5.45,0.03,0.91,6.45,0.03
85,Cam Akers,HOU,NYJ,-,-,,1.54,2.60,9.94,0.07,0.19,1.29,0.00
86,Craig Reynolds,DET,GB,-,-,,1.46,1.90,8.09,0.06,0.38,2.86,0.00
87,Michael Carter,ARI,CHI,-,-,,1.44,1.60,6.58,0.06,0.62,4.25,0.00
88,Emani Bailey,KC,TB,-,-,,1.40,2.20,10.10,0.00,0.43,3.87,0.00
89,Jawhar Jordan,HOU,NYJ,-,-,,1.28,1.90,7.48,0.06,0.23,1.74,0.00
90,Ronnie Rivers,LAR,SEA,-,-,,1.27,1.60,6.87,0.07,0.25,1.59,0.00
91,Pierre Strong,CLE,LAC,-,-,,1.23,1.50,6.46,0.06,0.29,2.19,0.00
92,Jeff Wilson,MIA,BUF,-,-,,1.19,1.50,6.50,0.06,0.25,1.78,0.00
93,Isaiah Spiller,LAC,CLE,-,-,,1.16,1.60,6.49,0.06,0.23,1.55,0.00
94,Isaiah Davis,NYJ,HOU,-,-,,1.14,1.50,6.54,0.06,0.16,1.27,0.00
95,Israel Abanikanda,NYJ,HOU,-,-,,1.09,2.10,8.97,0.00,0.27,1.91,0.00
96,Boston Scott,LAR,SEA,-,-,,1.09,1.40,6.16,0.06,0.15,1.12,0.00
97,Blake Watson,DEN,BAL,-,-,,1.01,1.50,5.52,0.05,0.21,1.54,0.00
98,Dare Ogunbowale,HOU,NYJ,-,-,,0.76,0.60,2.43,0.00,0.70,5.12,0.00
99,Zach Evans,LAR,SEA,-,-,,0.75,1.50,6.13,0.00,0.15,1.38,0.00
100,Raheem Blackshear,CAR,NO,-,-,,0.70,0.80,3.21,0.00,0.50,3.76,0.00
101,Ameer Abdullah,LV,CIN,-,-,,0.61,0.60,2.34,0.00,0.49,3.71,0.00
102,Elijah Dotson,LAC,CLE,-,-,,0.56,1.10,4.21,0.00,0.19,1.43,0.00
103,Travis Homer,CHI,ARI,-,-,,0.52,0.80,3.44,0.00,0.24,1.71,0.00
104,Nyheim Hines,CLE,LAC,-,-,,0.51,0.40,1.67,0.00,0.48,3.45,0.00
105,Emanuel Wilson,GB,DET,-,-,,0.49,0.60,2.58,0.02,0.16,1.15,0.00
106,D'Ernest Johnson,JAX,PHI,-,-,,0.48,0.90,3.71,0.00,0.15,1.13,0.00
107,Malik Davis,DAL,ATL,-,-,,0.47,0.80,3.49,0.00,0.15,1.19,0.00
108,DeeJay Dallas,ARI,CHI,-,-,,0.46,0.60,2.51,0.00,0.29,2.06,0.00
109,Kenny McIntosh,SEA,LAR,-,-,,0.39,0.70,2.90,0.00,0.13,1.00,0.00
110,Kene Nwangwu,MIN,IND,-,-,,0.37,0.70,2.91,0.00,0.14,0.75,0.00
111,Hassan Haskins,TEN,NE,-,-,,0.32,0.60,2.46,0.00,0.13,0.72,0.00
112,Sean Tucker,TB,KC,-,-,,0.31,0.50,1.96,0.00,0.13,1.14,0.00
113,Keilan Robinson,JAX,PHI,-,-,,0.30,0.50,2.03,0.00,0.13,0.98,0.00
114,JaMycal Hasty,NE,TEN,-,-,,0.25,0.40,1.56,0.00,0.13,0.94,0.00
115,Keaontay Ingram,KC,TB,-,-,,0.24,0.40,1.84,0.00,0.11,0.54,0.00
116,Tyrion Davis-Price,PHI,JAX,-,-,,0.12,0.20,0.89,0.00,0.10,0.31,0.00
117,Jermar Jefferson,DET,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118,Jakob Johnson,NYG,WAS,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119,DJ Williams,TB,KC,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,Austin Jones,WAS,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
121,Carson Steele,KC,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
