,,,Week 12 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Travis Kelce,KC,CAR,-,-,,8.85,5.56,58.85,0.49,0.07,0.28,0.00
2,Sam LaPorta,DET,IND,-,-,,8.43,5.41,56.07,0.47,0.00,0.00,0.00
3,Mark Andrews,BAL,LAC,-,-,,7.81,4.13,52.25,0.43,0.00,0.00,0.00
4,George Kittle,SF,GB,-,-,,7.66,3.96,54.13,0.37,0.06,0.30,0.00
5,Trey McBride,ARI,SEA,-,-,,6.51,4.65,47.70,0.29,0.00,0.00,0.00
6,Jake Ferguson,DAL,WAS,-,-,,5.82,3.90,40.80,0.29,0.00,0.00,0.00
7,David Njoku,CLE,PIT,-,-,,5.72,3.75,40.35,0.28,0.00,0.00,0.00
8,Dalton Schultz,HOU,TEN,-,-,,5.70,3.65,38.39,0.31,0.00,0.00,0.00
9,Dallas Goedert,PHI,LAR,-,-,,5.28,3.68,39.64,0.22,0.00,0.00,0.00
10,Brock Bowers,LV,DEN,-,-,,5.13,3.26,36.28,0.25,0.00,0.00,0.00
11,T.J. Hockenson,MIN,CHI,-,-,,5.00,3.47,35.60,0.24,0.00,0.00,0.00
12,Cole Kmet,CHI,MIN,-,-,,4.90,3.32,34.04,0.25,0.00,0.00,0.00
13,Pat Freiermuth,PIT,CLE,-,-,,4.72,3.19,33.40,0.23,0.00,0.00,0.00
14,Cade Otton,TB,NYG,-,-,,3.94,2.66,26.80,0.21,0.00,0.00,0.00
15,Luke Musgrave,GB,SF,-,-,,3.83,2.33,26.85,0.19,0.00,0.00,0.00
16,Ben Sinnott,WAS,DAL,-,-,,3.65,2.39,25.06,0.19,0.00,0.00,0.00
17,Chigoziem Okonkwo,TEN,HOU,-,-,,3.58,2.43,24.75,0.18,0.06,0.24,0.00
18,Tucker Kraft,GB,SF,-,-,,3.21,2.04,21.26,0.18,0.00,0.00,0.00
19,Isaiah Likely,BAL,LAC,-,-,,3.18,1.95,21.57,0.17,0.00,0.00,0.00
20,Ja'Tavion Sanders,CAR,KC,-,-,,2.99,1.78,19.72,0.17,0.00,0.00,0.00
21,Noah Fant,SEA,ARI,-,-,,2.96,2.15,21.80,0.13,0.00,0.00,0.00
22,Colby Parkinson,LAR,PHI,-,-,,2.90,1.80,19.37,0.16,0.00,0.00,0.00
23,Hunter Henry,NE,MIA,-,-,,2.83,1.97,19.88,0.14,0.00,0.00,0.00
24,Michael Mayer,LV,DEN,-,-,,2.71,1.81,19.29,0.13,0.00,0.00,0.00
25,Gerald Everett,CHI,MIN,-,-,,2.64,1.77,18.03,0.14,0.00,0.00,0.00
26,Theo Johnson,NYG,TB,-,-,,2.63,1.70,17.85,0.14,0.00,0.00,0.00
27,Noah Gray,KC,CAR,-,-,,2.41,1.53,16.31,0.13,0.00,0.00,0.00
28,Durham Smythe,MIA,NE,-,-,,2.31,1.39,14.05,0.15,0.00,0.00,0.00
29,Will Mallory,IND,DET,-,-,,2.28,1.59,16.83,0.10,0.00,0.00,0.00
30,Jelani Woods,IND,DET,-,-,,2.23,1.39,15.65,0.11,0.00,0.00,0.00
31,Cade Stover,HOU,TEN,-,-,,2.14,1.45,15.41,0.10,0.00,0.00,0.00
32,Tyler Higbee,LAR,PHI,-,-,,2.13,1.35,14.12,0.12,0.00,0.00,0.00
33,Jaheim Bell,NE,MIA,-,-,,2.04,1.25,13.79,0.11,0.00,0.00,0.00
34,Josh Whyle,TEN,HOU,-,-,,2.00,1.31,13.40,0.11,0.00,0.00,0.00
35,Brevin Jordan,HOU,TEN,-,-,,1.97,1.31,13.68,0.10,0.00,0.00,0.00
36,Hayden Hurst,LAC,BAL,-,-,,1.90,1.32,13.56,0.09,0.00,0.00,0.00
37,Greg Dulcich,DEN,LV,-,-,,1.88,1.35,13.98,0.08,0.00,0.00,0.00
38,Zach Ertz,WAS,DAL,-,-,,1.88,1.48,13.96,0.08,0.00,0.00,0.00
39,Jonnu Smith,MIA,NE,-,-,,1.75,1.14,11.54,0.10,0.00,0.00,0.00
40,Donald Parham,LAC,BAL,-,-,,1.66,0.88,9.37,0.12,0.00,0.00,0.00
41,Tommy Tremble,CAR,KC,-,-,,1.40,0.98,10.40,0.06,0.00,0.00,0.00
42,Kylen Granson,IND,DET,-,-,,1.37,0.99,10.05,0.06,0.00,0.00,0.00
43,Johnny Mundt,MIN,CHI,-,-,,1.35,0.96,9.89,0.06,0.00,0.00,0.00
44,Lucas Krull,DEN,LV,-,-,,1.25,0.84,8.91,0.06,0.00,0.00,0.00
45,AJ Barner,SEA,ARI,-,-,,1.24,0.82,8.84,0.06,0.00,0.00,0.00
46,Elijah Higgins,ARI,SEA,-,-,,1.22,0.84,8.55,0.06,0.00,0.00,0.00
47,Robert Tonyan,MIN,CHI,-,-,,1.21,0.83,8.47,0.06,0.00,0.00,0.00
48,Jared Wiley,KC,CAR,-,-,,1.19,0.78,8.30,0.06,0.00,0.00,0.00
49,Peyton Hendershot,DAL,WAS,-,-,,1.19,0.82,8.25,0.06,0.00,0.00,0.00
50,Davis Allen,LAR,PHI,-,-,,1.18,0.81,8.21,0.06,0.00,0.00,0.00
51,Payne Durham,TB,NYG,-,-,,1.16,0.79,7.97,0.06,0.00,0.00,0.00
52,Devin Culp,TB,NYG,-,-,,1.14,0.75,7.78,0.06,0.00,0.00,0.00
53,Darnell Washington,PIT,CLE,-,-,,1.14,0.82,8.36,0.05,0.00,0.00,0.00
54,Adam Trautman,DEN,LV,-,-,,1.12,0.75,7.55,0.06,0.00,0.00,0.00
55,Tip Reiman,ARI,SEA,-,-,,1.08,0.72,7.23,0.06,0.00,0.00,0.00
56,Harrison Bryant,LV,DEN,-,-,,1.07,0.70,7.14,0.06,0.00,0.00,0.00
57,Irv Smith,KC,CAR,-,-,,1.05,0.66,6.93,0.06,0.00,0.00,0.00
58,Jody Fortson,MIA,NE,-,-,,1.04,0.59,6.18,0.07,0.00,0.00,0.00
59,Daniel Bellinger,NYG,TB,-,-,,1.02,0.70,7.23,0.05,0.00,0.00,0.00
60,Brock Wright,DET,IND,-,-,,1.00,0.64,6.37,0.06,0.00,0.00,0.00
61,Mo Alie-Cox,IND,DET,-,-,,0.97,0.57,6.09,0.06,0.00,0.00,0.00
62,Will Dissly,LAC,BAL,-,-,,0.94,0.57,5.78,0.06,0.00,0.00,0.00
63,Jack Stoll,NYG,TB,-,-,,0.93,0.54,5.72,0.06,0.00,0.00,0.00
64,Josh Oliver,MIN,CHI,-,-,,0.93,0.60,6.32,0.05,0.00,0.00,0.00
65,Luke Schoonmaker,DAL,WAS,-,-,,0.88,0.48,5.23,0.06,0.00,0.00,0.00
66,Austin Hooper,NE,MIA,-,-,,0.87,0.58,5.73,0.05,0.00,0.00,0.00
67,Cole Turner,WAS,DAL,-,-,,0.86,0.46,4.96,0.06,0.00,0.00,0.00
68,Stone Smartt,LAC,BAL,-,-,,0.86,0.46,5.03,0.06,0.00,0.00,0.00
69,Jordan Akins,CLE,PIT,-,-,,0.83,0.47,4.71,0.06,0.00,0.00,0.00
70,Pharaoh Brown,SEA,ARI,-,-,,0.81,0.43,4.51,0.06,0.00,0.00,0.00
71,Connor Heyward,PIT,CLE,-,-,,0.35,0.32,3.51,0.00,0.00,0.00,0.00
72,Ian Thomas,CAR,KC,-,-,,0.34,0.31,3.44,0.00,0.00,0.00,0.00
73,Charlie Kolar,BAL,LAC,-,-,,0.30,0.30,3.02,0.00,0.00,0.00,0.00
74,John Bates,WAS,DAL,-,-,,0.29,0.28,2.85,0.00,0.00,0.00,0.00
75,Armani Rogers,PHI,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,Bernhard Seikovits,ARI,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,Albert Okwuegbunam,PHI,LAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
