,,,Week 6 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Justin Tucker,BAL,WAS,-,-,,8.96,1.97,2.22,88.7,3.05,3.11,98.1
2,Brandon Aubrey,DAL,DET,-,-,,8.37,1.82,2.06,88.3,2.91,3.03,96.0
3,Evan McPherson,CIN,NYG,-,-,,8.23,1.77,2.01,88.1,2.92,3.04,96.1
4,Jake Moody,SF,SEA,-,-,,7.98,1.67,1.98,84.3,2.97,3.16,94.0
5,Younghoe Koo,ATL,CAR,-,-,,7.73,1.80,2.04,88.2,2.33,2.39,97.5
6,Greg Zuerlein,NYJ,BUF,-,-,,7.71,1.76,2.06,85.4,2.43,2.55,95.3
7,Ka'imi Fairbairn,HOU,NE,-,-,,7.70,1.63,1.93,84.5,2.84,2.96,95.9
8,Cameron Dicker,LAC,DEN,-,-,,7.44,1.70,1.93,88.1,2.34,2.46,95.1
9,Tyler Bass,BUF,NYJ,-,-,,7.37,1.60,1.89,84.7,2.60,2.72,95.6
10,Jake Elliott,PHI,CLE,-,-,,7.34,1.63,1.87,87.2,2.48,2.60,95.4
11,Dustin Hopkins,CLE,PHI,-,-,,7.18,1.60,1.89,84.7,2.35,2.46,95.5
12,Blake Grupe,NO,TB,-,-,,7.11,1.57,1.87,84.0,2.22,2.33,95.3
13,Matt Gay,IND,TEN,-,-,,7.02,1.65,1.95,84.6,2.07,2.19,94.5
14,Cairo Santos,CHI,JAX,-,-,,7.00,1.60,1.84,87.0,2.20,2.31,95.2
15,Daniel Carlson,LV,PIT,-,-,,6.95,1.69,1.92,88.0,2.03,2.09,97.1
16,Jason Myers,SEA,SF,-,-,,6.93,1.53,1.82,84.1,2.16,2.27,95.2
17,Anders Carlson,GB,ARI,-,-,,6.90,1.48,1.84,80.4,2.49,2.61,95.4
18,Chris Boswell,PIT,LV,-,-,,6.84,1.61,1.84,87.5,2.01,2.13,94.4
19,Chase McLaughlin,TB,NO,-,-,,6.76,1.59,1.87,85.0,1.99,2.10,94.8
20,Matt Prater,ARI,GB,-,-,,6.76,1.59,1.87,85.0,1.99,2.10,94.8
21,Nick Folk,TEN,IND,-,-,,6.73,1.61,1.90,84.7,1.90,2.01,94.5
22,Jake Bates,DET,DAL,-,-,,6.69,1.35,1.66,81.3,2.64,2.76,95.7
23,Graham Gano,NYG,CIN,-,-,,6.57,1.57,1.86,84.4,1.86,1.97,94.4
24,Cam Little,JAX,CHI,-,-,,6.48,1.39,1.73,80.3,2.31,2.42,95.5
25,Wil Lutz,DEN,LAC,-,-,,6.47,1.47,1.75,84.0,2.03,2.15,94.4
26,Eddy Pineiro,CAR,ATL,-,-,,5.96,1.41,1.63,86.5,1.91,2.02,94.6
27,Joey Slye,NE,HOU,-,-,,1.43,0.38,0.47,80.9,0.47,0.52,90.4
28,Charlie Smyth,NO,TB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
29,Spencer Shrader,IND,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
30,Austin Seibert,NYJ,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
31,Chad Ryland,NE,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
32,Brayden Narveson,TEN,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Jude McAtamney,NYG,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Alex Hale,GB,ARI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Michael Badgley,DET,DAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Matthew Wright,PIT,LV,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
37,Cade York,WAS,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
38,Greg Joseph,GB,ARI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
