,,,Week 3 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Harrison Butker,KC,ATL,-,-,,8.78,1.87,2.11,88.6,3.17,3.30,96.1
2,Evan McPherson,CIN,WAS,-,-,,8.61,1.85,2.10,88.1,3.06,3.19,95.9
3,Justin Tucker,BAL,DAL,-,-,,8.44,1.85,2.09,88.5,2.86,2.92,97.9
4,Brandon Aubrey,DAL,BAL,-,-,,8.37,1.82,2.06,88.3,2.91,3.03,96.0
5,Jake Moody,SF,LAR,-,-,,7.98,1.67,1.98,84.3,2.97,3.16,94.0
6,Tyler Bass,BUF,JAX,-,-,,7.87,1.70,2.01,84.6,2.77,2.90,95.5
7,Ka'imi Fairbairn,HOU,MIN,-,-,,7.82,1.65,1.96,84.2,2.87,3.00,95.7
8,Greg Zuerlein,NYJ,NE,-,-,,7.75,1.77,2.07,85.5,2.44,2.56,95.3
9,Jason Sanders,MIA,SEA,-,-,,7.64,1.60,1.91,83.8,2.84,2.96,95.9
10,Dustin Hopkins,CLE,NYG,-,-,,7.59,1.70,2.00,85.0,2.49,2.61,95.4
11,Younghoe Koo,ATL,KC,-,-,,7.58,1.77,2.01,88.1,2.30,2.36,97.5
12,Daniel Carlson,LV,CAR,-,-,,7.37,1.79,2.03,88.2,2.15,2.21,97.3
13,Jake Elliott,PHI,NO,-,-,,7.32,1.62,1.86,87.1,2.46,2.59,95.0
14,Jason Myers,SEA,MIA,-,-,,7.30,1.61,1.91,84.3,2.26,2.38,95.0
15,Matt Gay,IND,CHI,-,-,,7.19,1.70,2.00,85.0,2.12,2.24,94.6
16,Cameron Dicker,LAC,PIT,-,-,,7.14,1.63,1.86,87.6,2.25,2.36,95.3
17,Chase McLaughlin,TB,DEN,-,-,,7.09,1.66,1.96,84.7,2.08,2.20,94.5
18,Matt Prater,ARI,DET,-,-,,7.02,1.65,1.95,84.6,2.07,2.19,94.5
19,Jake Bates,DET,ARI,-,-,,7.00,1.42,1.74,81.6,2.77,2.90,95.5
20,Blake Grupe,NO,PHI,-,-,,6.97,1.54,1.82,84.6,2.17,2.28,95.2
21,Chris Boswell,PIT,LAC,-,-,,6.93,1.63,1.87,87.2,2.04,2.16,94.4
22,Cairo Santos,CHI,IND,-,-,,6.91,1.58,1.82,86.8,2.17,2.28,95.2
23,Joshua Karty,LAR,SF,-,-,,6.85,1.48,1.82,81.3,2.44,2.55,95.7
24,Anders Carlson,GB,TEN,-,-,,6.69,1.43,1.77,80.8,2.40,2.52,95.2
25,Nick Folk,TEN,GB,-,-,,6.57,1.57,1.86,84.4,1.86,1.97,94.4
26,Will Reichard,MIN,HOU,-,-,,6.37,1.38,1.65,83.6,2.20,2.31,95.2
27,Wil Lutz,DEN,TB,-,-,,6.36,1.45,1.73,83.8,2.01,2.12,94.8
28,Graham Gano,NYG,CLE,-,-,,6.34,1.51,1.78,84.8,1.78,1.89,94.2
29,Cam Little,JAX,BUF,-,-,,6.22,1.34,1.67,80.2,2.23,2.34,95.3
30,Eddy Pineiro,CAR,LV,-,-,,5.85,1.39,1.61,86.3,1.89,2.00,94.5
31,Joey Slye,NE,NYJ,-,-,,1.41,0.36,0.45,80.0,0.45,0.50,90.0
32,Austin Seibert,NYJ,NE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Chad Ryland,NE,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Brayden Narveson,TEN,GB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Jude McAtamney,NYG,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Greg Joseph,GB,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
37,Matthew Wright,PIT,LAC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
38,Spencer Shrader,IND,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
39,Charlie Smyth,NO,PHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
40,Michael Badgley,DET,ARI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
41,Cade York,WAS,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
42,Alex Hale,GB,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
