,,,Week 2 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,MIN,SF,-7.0,45.5,16.69,15.10,76.95,0.69,4.25,33.53,0.25
2,Breece Hall,NYJ,TEN,NYJ,-4.0,43.5,13.63,15.70,72.42,0.53,3.36,24.91,0.12
3,Saquon Barkley,PHI,ATL,PHI,-4.0,47.5,12.55,15.40,71.87,0.43,2.70,20.01,0.13
4,Derrick Henry,BAL,LV,BAL,-8.0,43.5,12.28,14.40,70.78,0.66,1.21,8.81,0.06
5,Jonathan Taylor,IND,GB,GB,5,47.0,12.12,15.60,69.57,0.57,1.82,13.84,0.06
6,Jahmyr Gibbs,DET,TB,DET,-6.5,48.5,12.08,11.70,60.07,0.46,3.40,25.28,0.13
7,Bijan Robinson,ATL,PHI,PHI,4,47.5,12.05,14.90,65.72,0.47,2.75,20.53,0.10
8,Josh Jacobs,GB,IND,GB,-5.0,47.0,11.71,14.10,66.47,0.51,2.25,16.41,0.06
9,Kyren Williams,LAR,ARI,LAR,-2.0,48.0,11.67,13.70,63.26,0.53,2.34,17.42,0.07
10,Isiah Pacheco,KC,CIN,KC,-3.5,47.5,11.51,12.90,61.21,0.47,2.50,18.45,0.12
11,Travis Etienne,JAX,CLE,JAX,-2.0,44.5,10.64,14.20,59.37,0.40,2.58,19.40,0.06
12,De'Von Achane,MIA,BUF,MIA,-2.0,50.5,10.39,9.90,54.30,0.41,2.45,18.99,0.10
13,David Montgomery,DET,TB,DET,-6.5,48.5,10.36,11.90,57.15,0.56,1.28,9.29,0.06
14,Rachaad White,TB,DET,DET,6.5,48.5,10.16,13.20,52.54,0.36,2.81,20.82,0.11
15,James Cook,BUF,MIA,MIA,2,50.5,9.87,11.90,54.63,0.30,2.45,18.91,0.12
16,Kenneth Walker,SEA,NE,SEA,-3.0,41.0,9.62,13.60,56.36,0.41,1.68,12.27,0.05
17,Joe Mixon,HOU,CHI,HOU,-3.5,46.5,9.55,12.70,54.73,0.35,2.22,16.20,0.06
18,James Conner,ARI,LAR,LAR,2,48.0,9.48,12.00,52.11,0.41,1.94,14.46,0.06
19,Najee Harris,PIT,DEN,PIT,-2.5,40.5,9.22,13.30,53.92,0.39,1.54,11.23,0.06
20,Aaron Jones,MIN,SF,SF,7,45.5,9.00,11.90,48.69,0.33,2.01,14.93,0.11
21,Devin Singletary,NYG,WAS,WAS,2.5,41.5,8.80,13.50,52.72,0.29,2.01,14.29,0.06
22,Chuba Hubbard,CAR,LAC,LAC,3.5,42.0,8.71,13.70,51.77,0.35,1.42,10.12,0.07
23,Rhamondre Stevenson,NE,SEA,SEA,3,41.0,8.62,12.60,49.65,0.33,1.78,13.12,0.06
24,Ezekiel Elliott,DAL,NO,DAL,-6.5,44.5,8.58,10.60,45.23,0.39,1.78,12.92,0.07
25,Raheem Mostert,MIA,BUF,MIA,-2.0,50.5,8.58,9.80,46.99,0.40,1.56,11.18,0.06
26,D'Andre Swift,CHI,HOU,HOU,3.5,46.5,8.56,11.20,46.11,0.34,2.11,15.46,0.06
27,Gus Edwards,LAC,CAR,LAC,-3.5,42.0,8.53,11.60,49.70,0.41,1.00,7.39,0.06
28,Zamir White,LV,BAL,BAL,8,43.5,8.29,12.80,48.50,0.34,1.52,11.01,0.05
29,Javonte Williams,DEN,PIT,PIT,2.5,40.5,8.14,12.30,48.90,0.28,1.76,12.70,0.05
30,Alvin Kamara,NO,DAL,DAL,6.5,44.5,8.04,10.10,38.80,0.21,3.03,22.39,0.11
31,Tony Pollard,TEN,NYJ,NYJ,4,43.5,8.01,11.80,48.20,0.27,1.74,12.74,0.05
