,,,Week 10 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Harrison Butker,KC,DEN,-,-,,9.01,1.91,2.17,88.0,3.25,3.38,96.2
2,Justin Tucker,BAL,CIN,-,-,,8.58,1.88,2.12,88.7,2.91,2.97,98.0
3,Brandon Aubrey,DAL,PHI,-,-,,8.46,1.83,2.08,88.0,2.94,3.06,96.1
4,Jake Moody,SF,TB,-,-,,7.93,1.66,1.97,84.3,2.95,3.13,94.2
5,Ka'imi Fairbairn,HOU,DET,-,-,,7.81,1.64,1.95,84.1,2.86,2.98,96.0
6,Evan McPherson,CIN,BAL,-,-,,7.77,1.67,1.90,87.9,2.76,2.88,95.8
7,Greg Zuerlein,NYJ,ARI,-,-,,7.75,1.77,2.07,85.5,2.44,2.56,95.3
8,Cameron Dicker,LAC,TEN,-,-,,7.61,1.74,1.98,87.9,2.39,2.51,95.2
9,Younghoe Koo,ATL,NO,-,-,,7.58,1.77,2.01,88.1,2.30,2.36,97.5
10,Tyler Bass,BUF,IND,-,-,,7.52,1.63,1.93,84.5,2.66,2.78,95.7
11,Jason Sanders,MIA,LAR,-,-,,7.38,1.54,1.84,83.7,2.73,2.85,95.8
12,Jake Elliott,PHI,DAL,-,-,,7.19,1.60,1.83,87.4,2.42,2.54,95.3
13,Cairo Santos,CHI,NE,-,-,,7.09,1.63,1.87,87.2,2.23,2.35,94.9
14,Blake Grupe,NO,ATL,-,-,,7.02,1.55,1.84,84.2,2.19,2.30,95.2
15,Chris Boswell,PIT,WAS,-,-,,6.97,1.64,1.87,87.7,2.05,2.17,94.5
16,Joshua Karty,LAR,MIA,-,-,,6.95,1.50,1.85,81.1,2.48,2.60,95.4
17,Matt Gay,IND,BUF,-,-,,6.93,1.63,1.92,84.9,2.04,2.16,94.4
18,Matt Prater,ARI,NYJ,-,-,,6.85,1.62,1.91,84.8,2.02,2.14,94.4
19,Chase McLaughlin,TB,SF,-,-,,6.83,1.60,1.89,84.7,2.00,2.12,94.3
20,Graham Gano,NYG,CAR,-,-,,6.74,1.62,1.91,84.8,1.91,2.02,94.6
21,Jake Bates,DET,HOU,-,-,,6.68,1.34,1.65,81.2,2.63,2.75,95.6
22,Nick Folk,TEN,LAC,-,-,,6.52,1.56,1.84,84.8,1.84,1.95,94.4
23,Cam Little,JAX,MIN,-,-,,6.40,1.37,1.72,79.7,2.29,2.40,95.4
24,Will Reichard,MIN,JAX,-,-,,6.25,1.36,1.63,83.4,2.17,2.28,95.2
25,Wil Lutz,DEN,KC,-,-,,6.22,1.42,1.69,84.0,1.96,2.07,94.7
26,Eddy Pineiro,CAR,NYG,-,-,,6.01,1.42,1.65,86.1,1.93,2.04,94.6
27,Joey Slye,NE,CHI,-,-,,1.42,0.37,0.46,80.4,0.46,0.51,90.2
28,Charlie Smyth,NO,ATL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
29,Spencer Shrader,IND,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
30,Austin Seibert,NYJ,ARI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
31,Chad Ryland,NE,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
32,Brayden Narveson,TEN,LAC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Jude McAtamney,NYG,CAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Matthew Wright,PIT,WAS,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Cade York,WAS,PIT,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Michael Badgley,DET,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
