,,,Week 15 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,CeeDee Lamb,DAL,CAR,-,-,,12.72,7.09,89.67,0.49,0.74,4.56,0.06
2,Tyreek Hill,MIA,HOU,-,-,,12.65,6.65,92.57,0.53,0.30,2.14,0.00
3,Ja'Marr Chase,CIN,TEN,-,-,,11.40,6.42,83.63,0.49,0.18,0.98,0.00
4,A.J. Brown,PHI,PIT,-,-,,11.15,5.43,81.77,0.49,0.06,0.37,0.00
5,Justin Jefferson,MIN,CHI,-,-,,11.10,6.26,85.07,0.42,0.12,0.72,0.00
6,Amon-Ra St. Brown,DET,BUF,-,-,,10.91,6.95,80.45,0.44,0.38,2.25,0.00
7,Garrett Wilson,NYJ,JAX,-,-,,10.57,5.91,75.01,0.48,0.30,1.85,0.00
8,Deebo Samuel,SF,LAR,-,-,,10.35,3.97,55.70,0.37,2.50,14.83,0.18
9,Nico Collins,HOU,MIA,-,-,,9.88,4.87,71.81,0.44,0.12,0.62,0.00
10,Puka Nacua,LAR,SF,-,-,,9.75,5.32,71.12,0.40,0.46,2.37,0.00
11,Brandon Aiyuk,SF,LAR,-,-,,9.69,4.79,70.20,0.44,0.06,0.32,0.00
12,Marvin Harrison,ARI,NE,-,-,,9.46,4.89,68.94,0.42,0.06,0.42,0.00
13,Drake London,ATL,LV,-,-,,9.15,5.10,66.26,0.41,0.12,0.64,0.00
14,Chris Olave,NO,WAS,-,-,,9.15,5.18,70.17,0.35,0.06,0.29,0.00
15,Tee Higgins,CIN,TEN,-,-,,9.14,4.55,64.64,0.44,0.06,0.32,0.00
16,DK Metcalf,SEA,GB,-,-,,9.04,4.34,62.48,0.46,0.06,0.29,0.00
17,Amari Cooper,CLE,KC,-,-,,8.89,4.34,63.96,0.41,0.06,0.29,0.00
18,Jaylen Waddle,MIA,HOU,-,-,,8.84,4.86,66.25,0.35,0.18,1.11,0.00
19,Mike Evans,TB,LAC,-,-,,8.80,4.05,61.28,0.44,0.05,0.27,0.00
20,DJ Moore,CHI,MIN,-,-,,8.79,4.57,61.84,0.41,0.23,1.41,0.00
21,Stefon Diggs,HOU,MIA,-,-,,8.69,5.07,61.37,0.42,0.06,0.30,0.00
22,Tank Dell,HOU,MIA,-,-,,8.62,4.77,60.53,0.36,0.72,4.06,0.00
23,Davante Adams,LV,ATL,-,-,,8.52,5.35,63.90,0.35,0.06,0.29,0.00
24,DeVonta Smith,PHI,PIT,-,-,,8.49,5.14,62.98,0.36,0.06,0.36,0.00
25,Cooper Kupp,LAR,SF,-,-,,8.42,4.98,59.39,0.39,0.22,1.44,0.00
26,Jordan Addison,MIN,CHI,-,-,,8.35,4.30,59.60,0.38,0.19,1.14,0.00
