,,,Week 4 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Sam LaPorta,DET,SEA,-,-,,8.78,5.64,58.44,0.49,0.00,0.00,0.00
2,Travis Kelce,KC,LAC,-,-,,8.51,5.35,56.66,0.47,0.07,0.27,0.00
3,George Kittle,SF,NE,-,-,,8.11,4.20,57.35,0.39,0.06,0.32,0.00
4,Mark Andrews,BAL,BUF,-,-,,7.91,4.17,52.70,0.44,0.00,0.00,0.00
5,Trey McBride,ARI,WAS,-,-,,6.76,4.84,49.63,0.30,0.00,0.00,0.00
6,Kyle Pitts,ATL,NO,-,-,,6.70,3.99,49.62,0.29,0.00,0.00,0.00
7,Dalton Kincaid,BUF,BAL,-,-,,6.52,4.55,47.22,0.30,0.00,0.00,0.00
8,Taysom Hill,NO,ATL,-,-,,5.86,1.34,13.75,0.12,4.87,20.93,0.24
9,Jake Ferguson,DAL,NYG,-,-,,5.80,3.89,40.63,0.29,0.00,0.00,0.00
10,David Njoku,CLE,LV,-,-,,5.70,3.73,40.17,0.28,0.00,0.00,0.00
11,Dalton Schultz,HOU,JAX,-,-,,5.65,3.61,37.92,0.31,0.00,0.00,0.00
12,Dallas Goedert,PHI,TB,-,-,,5.37,3.76,40.51,0.22,0.00,0.00,0.00
13,Evan Engram,JAX,HOU,-,-,,5.26,4.07,39.35,0.22,0.00,0.00,0.00
14,Brock Bowers,LV,CLE,-,-,,5.00,3.14,35.00,0.25,0.00,0.00,0.00
15,Cole Kmet,CHI,LAR,-,-,,4.92,3.34,34.18,0.25,0.00,0.00,0.00
16,T.J. Hockenson,MIN,GB,-,-,,4.88,3.41,34.96,0.23,0.00,0.00,0.00
17,Pat Freiermuth,PIT,IND,-,-,,4.83,3.29,34.48,0.23,0.00,0.00,0.00
18,Luke Musgrave,GB,MIN,-,-,,4.02,2.44,28.16,0.20,0.00,0.00,0.00
19,Cade Otton,TB,PHI,-,-,,3.94,2.66,26.80,0.21,0.00,0.00,0.00
20,Ben Sinnott,WAS,ARI,-,-,,3.64,2.38,24.95,0.19,0.00,0.00,0.00
21,Chigoziem Okonkwo,TEN,MIA,-,-,,3.56,2.41,24.52,0.18,0.06,0.24,0.00
22,Tucker Kraft,GB,MIN,-,-,,3.37,2.14,22.30,0.19,0.00,0.00,0.00
23,Isaiah Likely,BAL,BUF,-,-,,3.20,1.97,21.75,0.17,0.00,0.00,0.00
24,Juwan Johnson,NO,ATL,-,-,,3.07,1.82,20.45,0.17,0.00,0.00,0.00
25,Tyler Conklin,NYJ,DEN,-,-,,3.06,2.23,22.23,0.14,0.00,0.00,0.00
26,Ja'Tavion Sanders,CAR,CIN,-,-,,3.04,1.82,20.18,0.17,0.00,0.00,0.00
27,Dawson Knox,BUF,BAL,-,-,,2.94,1.70,18.57,0.18,0.00,0.00,0.00
28,Colby Parkinson,LAR,CHI,-,-,,2.86,1.77,19.03,0.16,0.00,0.00,0.00
29,Noah Fant,SEA,DET,-,-,,2.79,2.04,20.68,0.12,0.00,0.00,0.00
30,Hunter Henry,NE,SF,-,-,,2.68,1.89,19.03,0.13,0.00,0.00,0.00
31,Gerald Everett,CHI,LAR,-,-,,2.65,1.78,18.10,0.14,0.00,0.00,0.00
32,Michael Mayer,LV,CLE,-,-,,2.64,1.75,18.61,0.13,0.00,0.00,0.00
33,Theo Johnson,NYG,DAL,-,-,,2.59,1.66,17.45,0.14,0.00,0.00,0.00
34,Tanner Hudson,CIN,CAR,-,-,,2.34,1.49,14.95,0.14,0.00,0.00,0.00
35,Durham Smythe,MIA,TEN,-,-,,2.31,1.40,14.11,0.15,0.00,0.00,0.00
36,Noah Gray,KC,LAC,-,-,,2.29,1.47,15.70,0.12,0.00,0.00,0.00
37,Will Mallory,IND,PIT,-,-,,2.28,1.59,16.83,0.10,0.00,0.00,0.00
38,Jelani Woods,IND,PIT,-,-,,2.23,1.39,15.65,0.11,0.00,0.00,0.00
39,Mike Gesicki,CIN,CAR,-,-,,2.23,1.43,15.69,0.11,0.00,0.00,0.00
40,Cade Stover,HOU,JAX,-,-,,2.12,1.44,15.22,0.10,0.00,0.00,0.00
41,Tyler Higbee,LAR,CHI,-,-,,2.11,1.32,13.88,0.12,0.00,0.00,0.00
42,Josh Whyle,TEN,MIA,-,-,,1.99,1.29,13.27,0.11,0.00,0.00,0.00
43,Brevin Jordan,HOU,JAX,-,-,,1.95,1.29,13.51,0.10,0.00,0.00,0.00
44,Jaheim Bell,NE,SF,-,-,,1.92,1.20,13.20,0.10,0.00,0.00,0.00
45,Zach Ertz,WAS,ARI,-,-,,1.87,1.47,13.90,0.08,0.00,0.00,0.00
46,Hayden Hurst,LAC,KC,-,-,,1.87,1.29,13.26,0.09,0.00,0.00,0.00
47,Greg Dulcich,DEN,NYJ,-,-,,1.85,1.32,13.65,0.08,0.00,0.00,0.00
48,Jonnu Smith,MIA,TEN,-,-,,1.76,1.15,11.59,0.10,0.00,0.00,0.00
49,Donald Parham,LAC,KC,-,-,,1.58,0.86,9.16,0.11,0.00,0.00,0.00
50,Jeremy Ruckert,NYJ,DEN,-,-,,1.48,1.07,11.19,0.06,0.00,0.00,0.00
51,Tommy Tremble,CAR,CIN,-,-,,1.43,1.00,10.65,0.06,0.00,0.00,0.00
52,Kylen Granson,IND,PIT,-,-,,1.37,0.99,10.05,0.06,0.00,0.00,0.00
53,Johnny Mundt,MIN,GB,-,-,,1.33,0.94,9.71,0.06,0.00,0.00,0.00
54,Elijah Higgins,ARI,WAS,-,-,,1.25,0.87,8.90,0.06,0.00,0.00,0.00
55,Darnell Washington,PIT,IND,-,-,,1.22,0.85,8.63,0.06,0.00,0.00,0.00
56,AJ Barner,SEA,DET,-,-,,1.20,0.78,8.38,0.06,0.00,0.00,0.00
57,Peyton Hendershot,DAL,NYG,-,-,,1.18,0.82,8.22,0.06,0.00,0.00,0.00
58,Davis Allen,LAR,CHI,-,-,,1.17,0.79,8.07,0.06,0.00,0.00,0.00
59,Lucas Krull,DEN,NYJ,-,-,,1.17,0.82,8.71,0.05,0.00,0.00,0.00
60,Drew Sample,CIN,CAR,-,-,,1.17,0.77,8.07,0.06,0.00,0.00,0.00
61,Payne Durham,TB,PHI,-,-,,1.16,0.79,7.97,0.06,0.00,0.00,0.00
62,Jared Wiley,KC,LAC,-,-,,1.16,0.75,7.99,0.06,0.00,0.00,0.00
63,Brenton Strange,JAX,HOU,-,-,,1.15,0.78,7.90,0.06,0.00,0.00,0.00
