,,Week 8 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,SF,DAL,-,-,,7.21,21.00,337.86,2.95,0.88,0.63,0.06,0.13,0.06,0.00,0.00
2,KC,LV,-,-,,7.03,21.00,394.33,2.80,0.87,0.62,0.06,0.12,0.06,0.00,0.00
3,NYJ,NE,-,-,,6.97,18.50,288.25,2.84,0.89,0.59,0.06,0.12,0.06,0.00,0.00
4,BAL,CLE,-,-,,6.82,22.25,327.51,2.79,0.83,0.59,0.06,0.12,0.06,0.00,0.00
5,DAL,SF,-,-,,6.67,26.50,405.89,2.68,0.86,0.57,0.06,0.11,0.06,0.00,0.00
6,DET,TEN,-,-,,6.48,19.75,311.68,2.71,0.88,0.57,0.06,0.06,0.06,0.00,0.00
7,PIT,NYG,-,-,,6.47,19.25,266.90,2.67,0.77,0.53,0.06,0.12,0.06,0.00,0.00
8,MIA,ARI,-,-,,6.46,20.50,342.27,2.70,0.82,0.63,0.06,0.06,0.06,0.00,0.00
9,HOU,IND,-,-,,6.41,22.00,335.91,2.67,0.81,0.62,0.06,0.06,0.06,0.00,0.00
10,CLE,BAL,-,-,,6.41,23.25,365.31,2.57,0.76,0.58,0.06,0.12,0.06,0.00,0.00
11,BUF,SEA,-,-,,6.21,21.75,323.99,2.56,0.85,0.55,0.06,0.06,0.06,0.00,0.00
12,CIN,PHI,-,-,,6.02,22.25,347.67,2.46,0.80,0.55,0.06,0.06,0.06,0.00,0.00
13,CHI,WAS,-,-,,5.93,21.25,314.08,2.49,0.77,0.53,0.06,0.06,0.06,0.00,0.00
14,GB,JAX,-,-,,5.90,22.50,330.22,2.44,0.77,0.54,0.06,0.06,0.06,0.00,0.00
15,PHI,CIN,-,-,,5.89,25.25,361.69,2.51,0.76,0.52,0.06,0.06,0.06,0.00,0.00
16,LAR,MIN,-,-,,5.88,21.00,91.50,2.49,0.73,0.55,0.06,0.06,0.06,0.00,0.00
17,SEA,BUF,-,-,,5.84,24.75,384.42,2.48,0.75,0.52,0.06,0.06,0.06,0.00,0.00
18,LAC,NO,-,-,,5.78,20.50,321.70,2.44,0.72,0.54,0.06,0.06,0.06,0.00,0.00
19,TB,ATL,-,-,,5.76,21.75,335.55,2.35,0.76,0.53,0.06,0.06,0.06,0.00,0.00
20,JAX,GB,-,-,,5.74,23.50,360.58,2.46,0.70,0.53,0.06,0.06,0.06,0.00,0.00
21,ATL,TB,-,-,,5.66,22.75,316.45,2.31,0.75,0.52,0.06,0.06,0.06,0.00,0.00
22,MIN,LAR,-,-,,5.64,24.50,384.39,2.45,0.68,0.51,0.06,0.06,0.06,0.00,0.00
23,LV,KC,-,-,,5.64,26.00,404.77,2.45,0.68,0.51,0.06,0.06,0.06,0.00,0.00
24,NO,LAC,-,-,,5.54,23.50,351.87,2.26,0.73,0.51,0.06,0.06,0.06,0.00,0.00
25,IND,HOU,-,-,,5.51,26.00,395.77,2.26,0.70,0.52,0.06,0.06,0.06,0.00,0.00
26,DEN,CAR,-,-,,5.48,19.75,299.51,2.22,0.70,0.52,0.06,0.06,0.06,0.00,0.00
27,WAS,CHI,-,-,,5.44,23.25,344.56,2.23,0.69,0.52,0.06,0.06,0.06,0.00,0.00
28,TEN,DET,-,-,,5.29,26.75,399.03,2.17,0.67,0.50,0.06,0.06,0.06,0.00,0.00
29,CAR,DEN,-,-,,5.29,22.25,285.16,2.17,0.67,0.50,0.06,0.06,0.06,0.00,0.00
30,NE,NYJ,-,-,,5.28,23.00,346.53,2.23,0.65,0.49,0.05,0.05,0.05,0.00,0.00
31,ARI,MIA,-,-,,5.25,26.50,392.79,2.09,0.68,0.51,0.06,0.06,0.06,0.00,0.00
32,NYG,PIT,-,-,,5.24,23.25,320.61,2.26,0.61,0.50,0.06,0.06,0.06,0.00,0.00
