,,,Week 10 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Patrick Mahomes,KC,DEN,-,-,,25.47,25.92,35.40,73.2,289.55,2.17,0.79,4.10,23.21,0.13
2,Josh Allen,BUF,IND,-,-,,24.39,21.83,32.90,66.4,243.31,1.63,0.84,6.50,33.06,0.54
3,Jalen Hurts,PHI,DAL,-,-,,23.21,19.08,29.00,65.8,213.52,1.36,0.65,8.90,38.42,0.65
4,Lamar Jackson,BAL,CIN,-,-,,23.15,18.50,27.30,67.8,213.23,1.52,0.61,8.90,51.03,0.32
5,C.J. Stroud,HOU,DET,-,-,,22.53,22.80,34.10,66.9,266.24,2.01,0.73,2.70,11.85,0.12
6,Dak Prescott,DAL,PHI,-,-,,21.54,23.23,33.10,70.2,251.54,1.87,0.69,3.20,13.93,0.13
7,Anthony Richardson,IND,BUF,-,-,,21.42,17.19,28.10,61.2,195.15,1.11,0.70,10.00,46.86,0.54
8,Joe Burrow,CIN,BAL,-,-,,20.78,23.50,35.60,66.0,247.77,1.82,0.70,3.20,10.87,0.12
9,Brock Purdy,SF,TB,-,-,,20.31,20.13,28.60,70.4,240.96,1.80,0.66,2.30,10.04,0.12
10,Justin Herbert,LAC,TEN,-,-,,19.87,21.90,32.70,67.0,236.98,1.57,0.67,3.20,12.71,0.19
11,Trevor Lawrence,JAX,MIN,-,-,,19.86,22.00,32.90,66.9,233.87,1.49,0.78,4.10,19.11,0.18
12,Kyler Murray,ARI,NYJ,-,-,,19.73,19.60,30.90,63.4,214.65,1.25,0.68,5.50,30.60,0.27
13,Caleb Williams,CHI,NE,-,-,,19.71,20.98,32.10,65.4,233.47,1.51,0.85,4.00,17.63,0.18
14,Jared Goff,DET,HOU,-,-,,19.53,22.42,33.60,66.7,251.47,1.73,0.66,1.50,3.35,0.06
15,Matthew Stafford,LAR,MIA,-,-,,19.24,21.96,33.10,66.3,246.50,1.75,0.84,0.90,3.93,0.06
16,Tua Tagovailoa,MIA,LAR,-,-,,19.12,20.99,30.80,68.1,243.35,1.72,0.71,1.90,4.24,0.06
17,Aaron Rodgers,NYJ,ARI,-,-,,18.88,21.46,32.10,66.9,237.60,1.65,0.55,1.90,5.90,0.06
18,Jayden Daniels,WAS,PIT,-,-,,18.37,17.18,29.10,59.0,192.01,1.13,0.79,5.80,29.96,0.34
19,Kirk Cousins,ATL,NO,-,-,,17.69,21.61,31.90,67.7,231.18,1.51,0.70,1.70,4.27,0.06
